state_alpha,county_name,county_ansi,state_fips_code,year,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $","AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $","AG SERVICES, OTHER - EXPENSE, MEASURED IN $","AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $","ANIMAL TOTALS - EXPENSE, MEASURED IN $","ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","FEED - EXPENSE, MEASURED IN $","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","INTEREST - EXPENSE, MEASURED IN $","INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $","INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $","LABOR, CONTRACT - EXPENSE, MEASURED IN $","LABOR, HIRED - EXPENSE, MEASURED IN $","LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $","LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $","RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $","SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $","SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $","TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $","ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $"
AK,ALEUTIAN ISLANDS,NA,02,2007,NA,NA,207000,230000,NA,NA,11000,243000,2043000,334000,47000,63000,NA,NA,25000,NA,835000,NA,NA,41000,17000,111000,29000,NA
AK,ALEUTIAN ISLANDS,NA,02,2012,NA,NA,219000,259000,3000,NA,1000,397000,2404000,389000,33000,189000,16000,7000,9000,NA,974000,NA,35000,NA,25000,172000,39000,NA
AK,ANCHORAGE,NA,02,2007,161000,41000,1626000,1551000,131000,43000,77000,2771000,24967000,1959000,989000,1782000,918000,124000,794000,647000,8735000,698000,381000,451000,1388000,3804000,706000,88000
AK,ANCHORAGE,NA,02,2012,165000,55000,1936000,2115000,329000,157000,138000,2978000,25003000,2380000,1355000,2212000,1013000,435000,578000,343000,8697000,1854000,508000,277000,1620000,1643000,729000,171000
AK,FAIRBANKS NORTH STAR,NA,02,2007,110000,64000,547000,302000,97000,32000,87000,1098000,7653000,526000,1087000,1007000,380000,82000,298000,46000,1442000,NA,NA,110000,458000,1066000,325000,66000
AK,FAIRBANKS NORTH STAR,NA,02,2012,NA,59000,856000,746000,98000,36000,208000,1372000,10035000,503000,1563000,1737000,414000,138000,277000,37000,1844000,NA,702000,NA,494000,961000,234000,62000
AK,JUNEAU,NA,02,2007,NA,NA,663000,508000,NA,NA,86000,1193000,11141000,1955000,14000,462000,NA,NA,27000,1122000,4417000,554000,65000,33000,48000,737000,35000,NA
AK,JUNEAU,NA,02,2012,430000,12000,652000,517000,15000,NA,3000,2232000,13284000,2673000,12000,515000,76000,33000,44000,1318000,5977000,730000,99000,38000,87000,916000,43000,NA
AK,KENAI PENINSULA,NA,02,2007,31000,NA,826000,383000,59000,NA,22000,534000,4742000,322000,197000,472000,271000,46000,226000,NA,1033000,41000,86000,23000,257000,592000,217000,NA
AK,KENAI PENINSULA,NA,02,2012,149000,31000,633000,422000,125000,55000,17000,732000,5191000,442000,276000,439000,251000,32000,219000,NA,1155000,NA,205000,NA,181000,722000,299000,71000
AL,AUTAUGA,001,01,2007,172000,331000,1623000,525000,333000,165000,599000,1849000,16602000,1667000,1472000,1298000,1100000,281000,819000,333000,3618000,2555000,213000,782000,564000,1811000,375000,168000
AL,AUTAUGA,001,01,2012,203000,343000,842000,609000,610000,225000,1250000,2074000,18315000,3174000,2237000,1547000,892000,169000,723000,244000,2042000,473000,266000,1121000,1246000,1537000,418000,385000
AL,BALDWIN,003,01,2007,883000,1239000,10040000,1781000,2874000,646000,9144000,12298000,87337000,7619000,9046000,5361000,3128000,777000,2352000,1010000,16550000,2595000,1243000,5336000,4827000,7449000,1050000,2228000
AL,BALDWIN,003,01,2012,2158000,1250000,10981000,2337000,3949000,638000,12690000,8033000,108005000,6687000,15520000,6703000,4182000,1220000,2962000,3129000,13867000,4983000,626000,5204000,8912000,9473000,963000,3311000
AL,BARBOUR,005,01,2007,244000,309000,4267000,1637000,15694000,1331000,1096000,4077000,64186000,25308000,2378000,2466000,2494000,561000,1932000,461000,2709000,2155000,166000,671000,792000,2972000,689000,14363000
AL,BARBOUR,005,01,2012,905000,760000,1559000,1858000,19139000,1258000,1560000,4792000,86281000,42490000,2325000,2810000,2249000,269000,1979000,644000,3847000,1909000,584000,1130000,1571000,2579000,856000,17881000
AL,BIBB,007,01,2007,23000,NA,152000,57000,64000,50000,19000,491000,2308000,538000,241000,231000,230000,31000,199000,57000,161000,90000,NA,49000,37000,340000,108000,14000
AL,BIBB,007,01,2012,10000,9000,165000,89000,496000,NA,170000,687000,4078000,1121000,547000,386000,157000,18000,139000,55000,151000,NA,98000,70000,131000,340000,180000,NA
AL,BLOUNT,009,01,2007,200000,89000,12658000,3551000,18508000,2260000,915000,7378000,135684000,77703000,2438000,4782000,4103000,567000,3536000,439000,3429000,2006000,629000,878000,631000,4297000,1063000,16248000
AL,BLOUNT,009,01,2012,1514000,107000,2910000,4554000,20999000,1811000,1197000,9942000,150528000,95472000,2451000,4543000,4175000,734000,3441000,724000,4493000,1428000,1195000,1223000,747000,4206000,1213000,19188000
AL,BULLOCK,011,01,2007,381000,NA,1888000,1968000,1485000,279000,920000,1704000,33039000,6357000,1210000,2193000,1119000,365000,754000,187000,5298000,1036000,148000,532000,NA,1869000,586000,1206000
AL,BULLOCK,011,01,2012,220000,NA,1429000,1988000,NA,NA,861000,1633000,41030000,12106000,1637000,2712000,1591000,402000,1189000,NA,5965000,1032000,391000,750000,3634000,2197000,834000,1861000
AL,BUTLER,013,01,2007,67000,NA,5879000,1603000,24133000,540000,336000,2540000,79661000,37120000,963000,1913000,1540000,290000,1249000,207000,2115000,NA,167000,403000,NA,2256000,420000,23593000
AL,BUTLER,013,01,2012,700000,31000,1625000,1739000,31514000,432000,391000,4528000,92835000,46330000,1016000,1932000,1916000,348000,1568000,107000,2342000,1900000,188000,434000,491000,1817000,449000,31082000
AL,CALHOUN,015,01,2007,239000,324000,4585000,1564000,17693000,359000,569000,2569000,59991000,19573000,1621000,2124000,1564000,372000,1192000,239000,4886000,1554000,210000,600000,1286000,2461000,663000,17333000
AL,CALHOUN,015,01,2012,672000,NA,2503000,1637000,21891000,946000,492000,3394000,75827000,33780000,1451000,2117000,1092000,287000,806000,NA,4931000,1467000,347000,659000,1176000,2242000,612000,20945000
AL,CHAMBERS,017,01,2007,85000,21000,479000,173000,431000,276000,144000,1003000,8221000,1853000,1217000,729000,528000,104000,424000,54000,759000,208000,106000,120000,261000,960000,409000,155000
AL,CHAMBERS,017,01,2012,82000,13000,565000,265000,658000,588000,308000,1404000,12734000,2990000,1764000,934000,655000,84000,571000,181000,1934000,1092000,202000,715000,263000,1004000,402000,71000
AL,CHEROKEE,019,01,2007,225000,117000,6082000,1161000,4450000,410000,2135000,3136000,54560000,20779000,3677000,2246000,1991000,472000,1520000,209000,4886000,881000,249000,792000,2441000,2628000,741000,4040000
AL,CHEROKEE,019,01,2012,950000,54000,2218000,1571000,10420000,472000,4339000,4325000,98664000,48911000,7367000,3140000,3063000,477000,2586000,204000,6097000,605000,384000,1574000,4869000,2927000,959000,9948000
AL,CHILTON,021,01,2007,130000,71000,617000,630000,1045000,NA,567000,2014000,15146000,2198000,1733000,1353000,1300000,440000,860000,520000,1997000,730000,384000,324000,479000,1703000,477000,NA
AL,CHILTON,021,01,2012,243000,38000,777000,526000,1733000,392000,426000,2241000,16646000,2648000,1219000,1311000,1135000,207000,928000,593000,2700000,811000,477000,991000,486000,1327000,495000,1341000
AL,CHOCTAW,023,01,2007,19000,43000,846000,165000,1265000,37000,119000,537000,10452000,5469000,354000,395000,320000,51000,269000,43000,227000,NA,101000,163000,64000,750000,211000,1228000
AL,CHOCTAW,023,01,2012,42000,23000,137000,151000,662000,61000,129000,562000,6606000,3180000,333000,377000,259000,49000,210000,60000,123000,32000,87000,439000,202000,315000,173000,601000
AL,CLARKE,025,01,2007,31000,51000,158000,134000,122000,74000,91000,372000,3798000,741000,541000,390000,276000,52000,224000,33000,105000,NA,77000,70000,137000,561000,356000,48000
AL,CLARKE,025,01,2012,20000,8000,143000,168000,261000,108000,134000,484000,4141000,1018000,546000,387000,340000,16000,324000,26000,254000,95000,103000,178000,128000,344000,185000,153000
AL,CLAY,027,01,2007,37000,25000,2546000,593000,NA,NA,108000,2469000,28479000,16470000,722000,1127000,1192000,235000,957000,95000,NA,55000,180000,225000,78000,986000,327000,3129000
AL,CLAY,027,01,2012,463000,10000,735000,852000,7697000,608000,168000,3070000,49377000,32696000,718000,1366000,1304000,145000,1159000,69000,756000,207000,312000,990000,173000,1016000,365000,7089000
AL,CLEBURNE,029,01,2007,69000,11000,4665000,916000,12182000,605000,174000,1761000,54397000,29144000,647000,1387000,903000,183000,721000,121000,2388000,1811000,472000,137000,188000,1092000,373000,11577000
AL,CLEBURNE,029,01,2012,638000,5000,1241000,1582000,16329000,827000,221000,2241000,69643000,40885000,671000,1574000,1083000,185000,898000,137000,2763000,1493000,180000,169000,285000,1656000,404000,15502000
AL,COFFEE,031,01,2007,822000,297000,13554000,2808000,35994000,2446000,2739000,7205000,165987000,82009000,4140000,4859000,3773000,961000,2812000,801000,4585000,2226000,357000,2086000,2135000,4423000,963000,33548000
AL,COFFEE,031,01,2012,2440000,207000,4950000,4495000,44773000,1944000,4443000,9709000,207202000,105327000,6486000,6419000,5738000,948000,4790000,1548000,6800000,1856000,794000,1945000,4079000,6317000,1235000,42829000
AL,COLBERT,033,01,2007,203000,176000,3216000,872000,4142000,429000,1937000,3714000,41167000,15919000,3478000,2399000,1756000,517000,1239000,148000,1856000,570000,213000,798000,1544000,2056000,667000,3714000
AL,COLBERT,033,01,2012,845000,1959000,2128000,1189000,3507000,462000,5329000,6229000,66896000,17276000,11282000,3520000,2844000,796000,2048000,736000,3064000,1728000,544000,3142000,5254000,3692000,1129000,3045000
