county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Apache,2002,9010.0,24959.0,,,161.0,805.0,238.0,,12211.0,516.0,228.0,1445.0,854.0,177.0,28.0,540.0,52.0,699.0,1055.0,959.0,962.0
Apache,2007,30127.0,7100.0,65.0,27.0,53.0,170.0,629.0,,294.0,7745.0,1107.0,3247.0,1306.0,199.0,66.0,36.0,96.0,606.0,555.0,1054.0,1239.0
Arizona,2002,1825328.0,250251.0,165318.0,133265.0,199392.0,315343.0,21233.0,,617035.0,67183.0,71533.0,133522.0,343422.0,95038.0,52671.0,111351.0,32771.0,58562.0,26286.0,183925.0,143767.0
Arizona,2007,2782786.0,177962.0,3050.0,2289.0,2218.0,1631.0,46303.0,,4524.0,146118.0,104463.0,144191.0,380491.0,76645.0,51758.0,1063.0,27822.0,65119.0,32745.0,211727.0,160562.0
Cochise,2002,67840.0,71335.0,7781.0,2865.0,3258.0,2513.0,,,22351.0,4850.0,3419.0,5949.0,12139.0,3656.0,1830.0,3616.0,677.0,,2223.0,6299.0,11477.0
Cochise,2007,105766.0,99310.0,339.0,279.0,232.0,268.0,1032.0,,623.0,6970.0,12163.0,7804.0,10359.0,3746.0,3258.0,85.0,621.0,6879.0,2496.0,9085.0,9040.0
Coconino,2002,13089.0,62035.0,114.0,69.0,80.0,1727.0,250.0,,9981.0,699.0,411.0,1300.0,2249.0,239.0,328.0,904.0,46.0,1307.0,526.0,1481.0,1938.0
Coconino,2007,28445.0,17812.0,21.0,19.0,32.0,84.0,818.0,,182.0,3874.0,899.0,2313.0,4390.0,412.0,77.0,8.0,30.0,876.0,782.0,1917.0,1804.0
Gila,2002,3613.0,21763.0,27.0,64.0,83.0,357.0,50.0,,1562.0,257.0,289.0,358.0,338.0,,,98.0,,287.0,317.0,375.0,892.0
Gila,2007,6147.0,22031.0,26.0,21.0,22.0,50.0,295.0,,147.0,565.0,200.0,648.0,1449.0,,20.0,15.0,15.0,256.0,423.0,291.0,3036.0
