county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Alameda,2002,47642.0,112629.0,1268.0,1334.0,2184.0,1484.0,190.0,,3205.0,1007.0,1345.0,3323.0,13892.0,2526.0,351.0,2854.0,1150.0,3013.0,1952.0,3954.0,4676.0
Alameda,2007,54232.0,103300.0,104.0,105.0,119.0,74.0,435.0,,284.0,3660.0,1736.0,3062.0,15576.0,4941.0,1890.0,164.0,298.0,3454.0,2468.0,4820.0,6774.0
Alpine,2002,,,,,,,,,,,,,88.0,,,,,,,,
Alpine,2007,889.0,63492.0,10.0,1.0,,1.0,,,3.0,64.0,46.0,127.0,7.0,,79.0,12.0,,95.0,40.0,93.0,86.0
Amador,2002,19727.0,43935.0,467.0,626.0,289.0,854.0,223.0,,2242.0,588.0,446.0,1549.0,2923.0,2461.0,1638.0,1821.0,84.0,2188.0,1392.0,1569.0,2529.0
Amador,2007,24865.0,51909.0,151.0,158.0,78.0,60.0,402.0,,293.0,1138.0,819.0,1926.0,3854.0,2292.0,549.0,78.0,160.0,2488.0,2471.0,2871.0,3840.0
Butte,2002,223905.0,105516.0,27604.0,26119.0,6235.0,3213.0,479.0,,4697.0,9477.0,12631.0,20283.0,44480.0,7518.0,10697.0,13603.0,4365.0,15864.0,10940.0,31728.0,29704.0
Butte,2007,275797.0,134667.0,1491.0,1465.0,877.0,287.0,685.0,,712.0,18239.0,12745.0,22659.0,48914.0,9106.0,15075.0,347.0,4218.0,16588.0,13075.0,33707.0,28354.0
Calaveras,2002,11912.0,20609.0,242.0,300.0,180.0,1015.0,,,4422.0,686.0,691.0,1083.0,1213.0,90.0,155.0,2048.0,,999.0,804.0,1735.0,1176.0
Calaveras,2007,20228.0,32057.0,127.0,210.0,116.0,121.0,731.0,,411.0,1235.0,634.0,1822.0,2456.0,914.0,134.0,83.0,84.0,1392.0,2198.0,1151.0,2184.0
California,2002,20527198.0,257701.0,1314175.0,1369132.0,991450.0,1264818.0,114594.0,,4274263.0,610228.0,986812.0,1532050.0,4317078.0,1665671.0,706279.0,1013008.0,222702.0,930722.0,525721.0,2171720.0,1575604.0
California,2007,26962641.0,332737.0,50120.0,46868.0,29176.0,10745.0,186901.0,,28663.0,1124340.0,1231547.0,1782730.0,5015513.0,2265515.0,860315.0,14367.0,216265.0,1099536.0,638682.0,2501352.0,1800646.0
Colusa,2002,231726.0,282249.0,31827.0,32098.0,13842.0,1338.0,181.0,,3408.0,12156.0,12746.0,17680.0,36759.0,9953.0,18039.0,26093.0,5216.0,11985.0,6104.0,26994.0,15487.0
Colusa,2007,309793.0,380582.0,644.0,571.0,599.0,120.0,292.0,,157.0,22130.0,15630.0,22493.0,43355.0,13810.0,24113.0,291.0,5657.0,13405.0,6144.0,34452.0,23314.0
Del Norte,2002,22258.0,252937.0,623.0,957.0,860.0,2224.0,,,6184.0,633.0,713.0,1645.0,7388.0,,,674.0,,868.0,,2820.0,1188.0
Del Norte,2007,27789.0,326932.0,32.0,25.0,21.0,19.0,,,69.0,1051.0,1412.0,1980.0,8141.0,196.0,225.0,9.0,19.0,1983.0,477.0,783.0,1768.0
El Dorado,2002,22201.0,19894.0,506.0,850.0,637.0,1115.0,234.0,,3216.0,811.0,913.0,2065.0,4829.0,1563.0,369.0,779.0,11.0,1548.0,2408.0,2462.0,2592.0
El Dorado,2007,35236.0,27788.0,545.0,543.0,325.0,217.0,894.0,,581.0,2186.0,1512.0,3909.0,5231.0,2380.0,187.0,88.0,190.0,5121.0,4564.0,2853.0,4717.0
Fresno,2002,2166717.0,344033.0,155531.0,189193.0,75107.0,292315.0,4975.0,,454294.0,72824.0,113224.0,138426.0,354051.0,235903.0,86447.0,88534.0,23093.0,108605.0,46110.0,207050.0,161964.0
Fresno,2007,3028036.0,497950.0,4907.0,4935.0,1733.0,439.0,13107.0,,1363.0,138155.0,164655.0,176286.0,419707.0,325159.0,122347.0,1037.0,23872.0,102776.0,55344.0,244760.0,150314.0
Glenn,2002,196379.0,153182.0,30470.0,27593.0,9405.0,7541.0,1163.0,,29784.0,8086.0,12529.0,14575.0,24948.0,8521.0,10395.0,17773.0,2914.0,11499.0,5816.0,19363.0,21502.0
Glenn,2007,299929.0,241489.0,961.0,911.0,542.0,193.0,1652.0,,407.0,19194.0,13513.0,23227.0,35025.0,17949.0,17068.0,259.0,4673.0,13588.0,8530.0,24596.0,27673.0
Humboldt,2002,87938.0,88469.0,1225.0,,3442.0,5472.0,765.0,,23817.0,,4154.0,9513.0,18644.0,,461.0,6386.0,769.0,4263.0,2877.0,6643.0,5709.0
Humboldt,2007,132066.0,155007.0,338.0,187.0,238.0,246.0,1695.0,,717.0,6779.0,4798.0,15735.0,39133.0,575.0,1347.0,378.0,876.0,7187.0,3776.0,9491.0,7420.0
Imperial,2002,845300.0,1562478.0,80861.0,54693.0,30388.0,270978.0,855.0,,182138.0,21068.0,32851.0,38193.0,93181.0,43738.0,45411.0,58062.0,12350.0,17780.0,6245.0,64673.0,32496.0
Imperial,2007,1119951.0,2477769.0,447.0,385.0,362.0,90.0,1917.0,,107.0,39719.0,39174.0,47058.0,107600.0,50330.0,56025.0,283.0,10011.0,23344.0,6856.0,62715.0,26653.0
Inyo,2002,9595.0,110292.0,804.0,198.0,250.0,1219.0,251.0,,1715.0,512.0,377.0,742.0,1316.0,133.0,205.0,1376.0,244.0,301.0,301.0,875.0,850.0
Inyo,2007,12042.0,128109.0,19.0,23.0,23.0,32.0,452.0,,71.0,1076.0,569.0,801.0,1726.0,62.0,190.0,58.0,32.0,369.0,503.0,1151.0,858.0
Kern,2002,1609494.0,750347.0,136598.0,164309.0,64804.0,59074.0,4628.0,,267831.0,46969.0,118746.0,115661.0,299204.0,195584.0,71803.0,62875.0,20207.0,76764.0,35484.0,188414.0,125681.0
Kern,2007,2419092.0,1142698.0,1304.0,1257.0,918.0,287.0,8103.0,,833.0,96626.0,178069.0,165314.0,340948.0,334785.0,71568.0,540.0,17601.0,94390.0,47171.0,317129.0,146813.0
Kings,2002,660300.0,571194.0,49502.0,46411.0,27359.0,63833.0,6450.0,,285130.0,23170.0,30138.0,59118.0,86254.0,28139.0,33267.0,24719.0,7146.0,30455.0,13378.0,59611.0,44430.0
Kings,2007,1043310.0,924101.0,840.0,804.0,464.0,245.0,20969.0,,400.0,52679.0,45826.0,80810.0,128323.0,55367.0,32560.0,301.0,12678.0,44370.0,15939.0,77806.0,66079.0
Lake,2002,65087.0,73461.0,2417.0,3047.0,1839.0,184.0,3.0,,1258.0,1796.0,2117.0,6148.0,18335.0,5004.0,1163.0,1714.0,535.0,7150.0,2943.0,10327.0,8284.0
Lake,2007,60528.0,71631.0,497.0,376.0,301.0,114.0,117.0,,218.0,3161.0,1656.0,3965.0,14362.0,6567.0,1287.0,93.0,594.0,6483.0,4175.0,7817.0,9298.0
Lassen L,2002,33345.0,79583.0,2196.0,1920.0,688.0,2606.0,621.0,,3983.0,1754.0,1619.0,2959.0,4802.0,393.0,1230.0,4660.0,469.0,2700.0,1228.0,3206.0,1995.0
Lassen L,2007,52763.0,114952.0,163.0,158.0,139.0,176.0,918.0,,323.0,4768.0,2467.0,4364.0,12712.0,1819.0,1219.0,104.0,181.0,3825.0,2047.0,3306.0,5058.0
Madera,2002,547283.0,306429.0,37738.0,45437.0,8727.0,31820.0,5066.0,,129545.0,17725.0,34096.0,34177.0,97123.0,64058.0,19457.0,17948.0,4779.0,28524.0,16011.0,55946.0,49291.0
Madera,2007,739200.0,432787.0,1200.0,1253.0,575.0,188.0,4800.0,,546.0,35558.0,43145.0,52667.0,128657.0,59583.0,39140.0,312.0,6045.0,29195.0,20829.0,53165.0,56254.0
Marin,2002,35039.0,139596.0,393.0,145.0,221.0,1418.0,432.0,,21352.0,1495.0,1459.0,3637.0,5982.0,526.0,674.0,3034.0,81.0,987.0,874.0,3129.0,1479.0
Marin,2007,49885.0,195627.0,67.0,46.0,47.0,65.0,957.0,,167.0,1573.0,1451.0,4291.0,7413.0,532.0,740.0,92.0,157.0,1614.0,1274.0,4276.0,4079.0
Mariposa,2002,11772.0,41894.0,29.0,53.0,20.0,1965.0,102.0,,2613.0,420.0,387.0,635.0,549.0,215.0,74.0,2465.0,135.0,763.0,744.0,792.0,2321.0
Mariposa,2007,13104.0,43392.0,53.0,103.0,38.0,35.0,448.0,,190.0,823.0,377.0,1077.0,668.0,185.0,74.0,39.0,48.0,880.0,919.0,908.0,1241.0
Mendocino,2002,89435.0,75600.0,3837.0,3814.0,1871.0,1228.0,526.0,,5579.0,2632.0,3301.0,7624.0,28315.0,7686.0,1608.0,3641.0,702.0,8883.0,5276.0,8323.0,12603.0
Mendocino,2007,127099.0,111883.0,679.0,475.0,495.0,280.0,1000.0,,513.0,6148.0,3762.0,9764.0,36105.0,12754.0,2295.0,128.0,1132.0,12746.0,7908.0,14515.0,20929.0
Merced,2002,1242622.0,419663.0,81549.0,65225.0,34964.0,74706.0,10102.0,,597600.0,33350.0,49162.0,77353.0,178581.0,42455.0,47410.0,62892.0,13573.0,49849.0,27987.0,112563.0,93304.0
