county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
Alameda,2012,2995,3562,1156,719,456,264,4095,2621,1469,2125,10492,3079,478,2430,235,2673,2341,332,2914,2000,4651
Alameda,2007,1268,1334,2184,1484,435,1048,3205,3660,1736,3062,15576,4941,1890,2854,298,3454,2480,974,2468,4820,6774
Amador,2012,587,877,346,678,367,310,2121,1123,1305,1802,4591,3836,781,2387,114,1761,1479,282,2929,2044,3539
Amador,2007,467,626,289,854,402,452,2242,1138,819,1926,3854,2292,549,1821,160,2488,1896,592,2471,2871,3840
Butte,2012,33658,39353,12273,2243,1092,1152,8052,26269,19487,27873,66947,13120,21270,16149,3779,24333,21316,3017,18149,32949,39434
Butte,2007,27604,26119,6235,3213,685,2528,4697,18239,12745,22659,48914,9106,15075,13603,4218,16588,13680,2908,13075,33707,28354
Calaveras,2012,295,408,192,1729,756,974,6413,2002,854,1348,3564,1412,444,1863,79,1412,1256,156,2288,1871,3136
Calaveras,2007,242,300,180,1015,731,284,4422,1235,634,1822,2456,914,134,2048,84,1392,1041,350,2198,1151,2184
Colusa,2012,46508,48467,20257,4124,728,3396,1895,35059,23118,44119,89073,45354,37387,34209,10680,18575,12522,6054,7993,38202,38824
Colusa,2007,31827,32098,13842,1338,292,1047,3408,22130,15630,22493,43355,13810,24113,26093,5657,13405,7747,5657,6144,34452,23314
Contra Costa,2012,2299,5931,,,,2565,6120,3957,3694,5154,17077,5727,,7894,,4719,3911,807,3311,6535,6148
Contra Costa,2007,2712,4097,2330,1346,537,809,4543,3506,2933,4315,12676,5049,876,4922,720,4563,3495,1068,3518,4195,5112
Del Norte,2012,545,,521,260,220,40,8440,1716,1464,2763,9725,,169,1197,,2072,1919,153,743,938,1681
Del Norte,2007,623,957,860,2224,,,,1051,1412,1980,8141,196,225,674,19,1983,1415,568,477,783,1768
El Dorado,2012,509,721,406,678,367,310,2121,1123,1305,1802,4591,3836,781,2387,114,1761,1479,282,2929,2044,3539
El Dorado,2007,506,850,637,854,402,452,2242,1138,819,1926,3854,2292,549,1821,160,2488,1896,592,2471,2871,3840
Fresno,2012,216341,297669,146570,218172,7687,210485,672601,181428,226012,219633,451165,491107,188093,105615,59504,139862,107983,31879,81126,308381,272948
Fresno,2007,155531,189193,75107,292315,13107,279208,454294,138155,164655,176286,419707,325159,122347,88534,23872,102776,71574,31202,55344,244760,150314
Glenn,2012,37479,39710,11514,14343,1393,12950,44361,29316,24617,37044,69288,36701,22433,31808,9134,21719,15905,5814,10571,53126,36944
Glenn,2007,30470,27593,9405,7541,1652,5889,29784,19194,13513,23227,35025,17949,17068,17773,4673,13588,10055,3534,8530,24596,27673
Humboldt,2012,1032,892,,,,2276,35459,5903,5199,14356,41400,11804,981,11108,724,6614,5399,1215,4344,11076,10105
Humboldt,2007,1225,,3442,,1695,3777,23817,6779,4798,15735,39133,,,6386,876,7187,6077,1111,3776,9491,7420
Imperial,2012,159170,109151,89130,264679,2246,262433,249952,72015,62501,69195,162027,98805,80155,108420,20274,20365,11098,9267,12482,72000,49223
Imperial,2007,80861,54693,30388,270978,1917,269062,182138,39719,39174,47058,107600,50330,56025,58062,10011,23344,8231,15113,6856,62715,26653
Inyo,2012,565,124,87,1085,732,352,3809,854,853,1562,3149,312,224,1981,80,608,,150,258,1276,870
Inyo,2007,804,198,250,1219,452,767,1715,1076,569,801,1726,62,190,1376,32,369,194,174,503,1151,858
Kern,2012,179664,248270,85073,88369,4910,83459,341371,147659,245677,225273,463843,568491,102354,114383,46481,123882,92407,31475,61446,352462,197213
Kern,2007,136598,164309,64804,59074,8103,50971,267831,96626,178069,165314,340948,334785,71568,62875,17601,94390,62818,31572,47171,317129,146813
Kings,2012,64247,86303,41886,104841,91894,12947,515810,74769,72816,95561,153584,69679,58472,38451,16017,47267,34113,13155,25391,126403,100759
Kings,2007,49502,46411,27359,63833,20969,42864,285130,52679,45826,80810,128323,55367,32560,24719,12678,44370,30606,13764,15939,77806,66079
Lake,2012,1521,3410,1694,264,181,84,1517,3069,2825,4191,15340,14725,2122,2812,755,5966,4954,1012,5232,8793,7475
Lake,2007,2417,3047,1839,184,117,67,1258,3161,1656,3965,14362,6567,1287,1714,594,6483,5570,914,4175,7817,9298
Lassen,2012,4191,4645,685,3069,891,2178,6507,5349,3638,5091,18026,,1167,3869,,7751,6953,798,,3433,7430
Lassen,2007,2196,1920,688,2606,918,1689,3983,4768,2467,4364,12712,1819,1219,4660,181,3825,2310,1515,2047,3306,5058
Los Angeles,2012,11555,16269,17899,1260,582,678,15532,10952,9466,8759,52566,10121,1719,6139,1650,5334,4527,807,6827,32484,10348
Los Angeles,2007,13609,10507,28291,2530,533,1997,15872,11018,11931,20542,93356,18089,3554,14031,1225,5626,3538,2088,7292,30676,13871
Madera,2012,58831,83874,26187,36448,17524,18924,159266,68476,86043,82955,143685,103792,64050,31699,11388,51382,43197,8185,25473,111002,106731
Madera,2007,37738,45437,8727,31820,4800,27020,129545,35558,43145,52667,128657,59583,39140,17948,6045,29195,23040,6155,20829,53165,56254
Marin,2012,371,141,441,1951,1597,353,36133,3126,2955,5315,18186,1361,1254,4864,133,1924,1309,615,3817,5074,4876
Marin,2007,393,145,221,1418,957,461,21352,1573,1451,4291,7413,532,740,3034,157,1614,660,955,1274,4276,4079
