county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Berkshire,2002,23248.0,57974.0,649.0,350.0,1195.0,323.0,52.0,,4753.0,1038.0,834.0,2819.0,5351.0,127.0,125.0,755.0,98.0,1083.0,1145.0,3677.0,1419.0
Berkshire,2007,23333.0,44699.0,188.0,92.0,118.0,102.0,118.0,,245.0,1539.0,825.0,2058.0,4373.0,158.0,142.0,93.0,71.0,888.0,2715.0,2539.0,2554.0
Bristol,2002,23435.0,37318.0,1620.0,863.0,4644.0,1092.0,,,3777.0,1032.0,798.0,2204.0,6743.0,700.0,65.0,995.0,77.0,903.0,2247.0,2674.0,4140.0
Bristol,2007,40179.0,51710.0,356.0,269.0,268.0,100.0,163.0,,342.0,2903.0,1490.0,4372.0,10210.0,498.0,416.0,102.0,73.0,1140.0,3156.0,2930.0,3748.0
Dukes,2002,3706.0,44651.0,102.0,,149.0,16.0,,,312.0,112.0,109.0,472.0,,223.0,,46.0,,,349.0,,478.0
Dukes,2007,3584.0,44248.0,31.0,13.0,30.0,22.0,7.0,,47.0,258.0,128.0,515.0,1370.0,49.0,12.0,15.0,3.0,197.0,298.0,,469.0
Essex,2002,25348.0,66010.0,577.0,558.0,1991.0,421.0,43.0,,3400.0,1319.0,901.0,3437.0,8656.0,582.0,39.0,1067.0,80.0,895.0,1284.0,2696.0,2190.0
Essex,2007,33397.0,62895.0,224.0,145.0,182.0,90.0,150.0,,194.0,2263.0,1230.0,3685.0,9510.0,1005.0,320.0,67.0,276.0,1734.0,2899.0,2460.0,2397.0
Franklin,2002,45627.0,77202.0,2248.0,1410.0,2224.0,550.0,,,6171.0,1592.0,1453.0,5013.0,14938.0,854.0,375.0,1270.0,489.0,1159.0,1850.0,6132.0,3715.0
Franklin,2007,51557.0,69578.0,371.0,181.0,237.0,184.0,339.0,,320.0,3787.0,1979.0,5332.0,13182.0,1137.0,219.0,123.0,279.0,1729.0,3006.0,7036.0,3172.0
Hampden H,2002,20768.0,45247.0,1156.0,583.0,1355.0,253.0,50.0,,1817.0,1265.0,658.0,2198.0,6668.0,481.0,51.0,499.0,59.0,454.0,1463.0,2968.0,934.0
Hampden H,2007,22725.0,44735.0,267.0,168.0,190.0,80.0,172.0,,251.0,1851.0,646.0,2399.0,4774.0,873.0,242.0,52.0,160.0,1341.0,2101.0,2675.0,1798.0
Middlesex,2002,57841.0,98369.0,1226.0,,3255.0,1039.0,61.0,,4787.0,2585.0,1494.0,5835.0,15477.0,1847.0,,1476.0,456.0,2695.0,2599.0,13674.0,7635.0
Middlesex,2007,76365.0,109092.0,313.0,187.0,237.0,97.0,180.0,,253.0,5261.0,2796.0,6364.0,27097.0,1495.0,464.0,123.0,275.0,1483.0,3744.0,12326.0,4920.0
Nantucket,2002,1535.0,118078.0,116.0,,173.0,,,,,20.0,,114.0,,22.0,,38.0,,,58.0,,
Nantucket,2007,2514.0,179558.0,7.0,4.0,6.0,,,,1.0,129.0,12.0,238.0,972.0,141.0,,2.0,60.0,58.0,42.0,295.0,298.0
Norfolk,2002,11389.0,54491.0,286.0,126.0,941.0,121.0,335.0,,1572.0,504.0,268.0,877.0,4175.0,590.0,75.0,381.0,44.0,185.0,882.0,1153.0,1225.0
Norfolk,2007,15751.0,59664.0,99.0,67.0,61.0,47.0,65.0,,120.0,950.0,539.0,1148.0,5329.0,287.0,43.0,8.0,60.0,776.0,1494.0,1697.0,788.0
Plymouth,2002,49269.0,61974.0,2551.0,4614.0,3003.0,416.0,47.0,,3324.0,2212.0,1580.0,4791.0,11738.0,3067.0,1008.0,1326.0,766.0,2937.0,4845.0,7603.0,6746.0
