county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
Barnstable,2012,220,682,1028,208,38,170,2042,1072,957,1598,10049,972,162,284,95,1013,874,139,1114,1867,1462
Barnstable,2007,357,406,1040,151,15,136,823,1259,901,1883,3924,496,82,452,136,729,606,124,761,2093,1389
Berkshire,2012,739,287,1246,415,69,346,5611,1704,994,2053,6145,364,256,603,100,1497,1296,202,2505,3804,2252
Berkshire,2007,649,350,1195,323,118,205,4753,1539,825,2058,4373,158,142,755,71,888,649,239,2715,2539,2554
Bristol,2012,2169,951,4084,586,161,425,5138,2775,1566,3385,12850,1683,331,813,92,1617,1368,248,2945,3321,3803
Bristol,2007,1620,863,4644,1092,163,929,3777,2903,1490,4372,10210,498,416,995,73,1140,809,331,3156,2930,3748
Dukes,2012,123,,180,,,,,490,276,406,2910,,,,,206,,,,532,630
Dukes,2007,102,,149,16,7,10,312,258,128,515,1370,49,12,46,,,,,,,
Essex,2012,686,406,2767,704,344,360,4907,1909,1284,2804,15754,641,,,,2115,1910,204,3734,4062,3762
Essex,2007,577,558,1991,421,150,271,3400,2263,1230,3685,9510,1005,320,1067,276,1734,1523,211,2899,2460,2397
Franklin,2012,2929,1764,2672,1268,216,1052,6473,3615,2250,6221,18663,970,867,1492,190,2715,2116,599,3887,5719,5145
Franklin,2007,2248,1410,2224,550,339,211,6171,3787,1979,5332,13182,1137,219,1270,279,1729,1253,476,3006,7036,3172
Hampden,2012,1163,583,827,465,184,281,3238,1646,699,2237,5407,510,446,480,30,863,676,187,2002,3154,1654
Hampden,2007,1156,583,1355,253,172,81,1817,1851,646,2399,4774,873,242,499,160,1341,1104,237,2101,2675,1798
Hampshire,2012,3709,1893,3297,732,155,577,5667,2517,1387,3432,11374,613,453,1489,149,1454,1147,306,3137,3507,3537
Hampshire,2007,2170,1108,1806,206,137,69,3729,2432,1359,3742,9732,430,330,1069,230,1494,1100,395,2761,3320,3148
Middlesex,2012,1684,1996,13684,651,168,483,4475,3356,3316,4740,31460,2278,529,1148,215,2393,1907,486,4146,5796,8392
Middlesex,2007,1226,,3255,1039,180,860,4787,5261,2796,6364,27097,1495,,1476,275,1483,1214,269,3744,12326,4920
Nantucket,2012,51,,,,,,,134,46,64,449,,,,,,,,254,300,
Nantucket,2007,116,,173,,,,,,,,972,141,,38,60,58,,,42,295,298
Norfolk,2012,364,237,629,186,44,142,1389,1012,667,1225,7769,407,312,289,25,1332,1266,66,1555,1580,1569
Norfolk,2007,286,126,941,121,65,56,1572,950,539,1148,5329,287,43,381,60,776,653,123,1494,1697,788
Plymouth,2012,3695,5929,4381,750,150,599,2748,6801,3555,7741,20380,10578,4673,1494,713,3502,2800,702,5038,9877,8928
Plymouth,2007,2551,4614,3003,416,70,346,3324,4441,2273,7203,15032,4167,1459,1326,541,3856,3561,295,3543,7062,7180
Suffolk,2012,17,,,,,,,7,11,21,648,,,,,,,,,36,41
Suffolk,2007,5,,27,,,,,,,,34,,,,,,,22,,,
Worcester,2012,1545,1245,4638,1174,425,749,8454,3580,2511,4789,20508,1635,346,794,108,3450,3042,407,7069,6813,6517
Worcester,2007,1724,1422,2831,1231,360,871,10626,3947,2370,7104,12685,2151,553,764,285,3913,3100,813,5968,18013,5706
