county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Appling,2007,65525.0,132642.0,8573.0,8774.0,5533.0,7782.0,,,42632.0,4077.0,1528.0,3463.0,3702.0,809.0,662.0,3218.0,162.0,2380.0,1370.0,4682.0,9303.0
Appling,2012,106600.0,224422.0,372.0,308.0,197.0,105.0,1256.0,,233.0,5611.0,2079.0,5715.0,5638.0,1683.0,1734.0,128.0,257.0,2728.0,1295.0,3349.0,5808.0
Atkinson,2007,47935.0,245819.0,3122.0,2724.0,3786.0,4650.0,241.0,,23396.0,2210.0,962.0,1625.0,1177.0,559.0,556.0,1459.0,72.0,1212.0,693.0,4003.0,2383.0
Atkinson,2012,53630.0,276441.0,134.0,108.0,78.0,50.0,294.0,,94.0,2865.0,1167.0,2447.0,1991.0,696.0,877.0,49.0,44.0,2060.0,1037.0,1308.0,3636.0
Bacon,2007,47077.0,144409.0,4871.0,3098.0,1521.0,2893.0,89.0,,17431.0,2646.0,922.0,3323.0,4348.0,728.0,351.0,1286.0,38.0,1818.0,879.0,3022.0,4416.0
Bacon,2012,51326.0,191514.0,234.0,179.0,97.0,40.0,1438.0,,115.0,2743.0,1785.0,2825.0,5358.0,1737.0,511.0,49.0,255.0,2064.0,885.0,2064.0,3233.0
Baker,2007,39595.0,253814.0,7995.0,5630.0,5527.0,3678.0,56.0,,12193.0,3431.0,752.0,2434.0,2665.0,390.0,611.0,5581.0,65.0,1582.0,1074.0,3084.0,2050.0
Baker,2012,62076.0,413841.0,93.0,79.0,74.0,15.0,834.0,,64.0,4572.0,1527.0,3244.0,4049.0,640.0,1356.0,53.0,239.0,1895.0,1297.0,2654.0,5737.0
Baldwin,2007,5428.0,31931.0,118.0,21.0,21.0,146.0,15.0,,475.0,330.0,80.0,446.0,39.0,,9.0,101.0,,368.0,326.0,231.0,388.0
Baldwin,2012,1841.0,14846.0,94.0,62.0,44.0,33.0,114.0,,109.0,178.0,64.0,175.0,52.0,,5.0,20.0,,174.0,232.0,77.0,179.0
Banks,2007,112373.0,212025.0,561.0,337.0,159.0,21063.0,367.0,,107640.0,2673.0,1969.0,2353.0,1402.0,277.0,206.0,734.0,23.0,2963.0,1129.0,10165.0,4117.0
Banks,2012,149639.0,288322.0,259.0,287.0,118.0,264.0,3698.0,,442.0,3182.0,3311.0,2400.0,2092.0,609.0,1604.0,64.0,96.0,2405.0,1260.0,2187.0,5922.0
Barrow,2007,28391.0,60925.0,412.0,236.0,80.0,4356.0,174.0,,12601.0,1324.0,1086.0,1773.0,1289.0,287.0,38.0,263.0,79.0,699.0,1209.0,2096.0,1904.0
Barrow,2012,26263.0,86390.0,214.0,170.0,101.0,92.0,238.0,,308.0,1070.0,1030.0,1436.0,1812.0,109.0,280.0,46.0,19.0,411.0,936.0,1212.0,1270.0
Bartow,2007,76521.0,152737.0,1997.0,1295.0,1344.0,15610.0,205.0,,42629.0,2535.0,1445.0,2681.0,4142.0,400.0,316.0,1357.0,53.0,1692.0,1339.0,7340.0,7232.0
Bartow,2012,81222.0,177340.0,268.0,191.0,126.0,145.0,1021.0,,356.0,2593.0,1329.0,2484.0,3292.0,407.0,1261.0,83.0,135.0,2074.0,1096.0,2319.0,4299.0
Ben Hill,2007,17147.0,75537.0,3655.0,2246.0,2533.0,457.0,63.0,,2161.0,1690.0,380.0,1301.0,1136.0,181.0,51.0,958.0,44.0,771.0,715.0,1341.0,2336.0
