county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Appling,2002,47317.0,84194.0,5949.0,3454.0,2734.0,7733.0,,,20754.0,2351.0,1186.0,3776.0,2379.0,1004.0,1346.0,2067.0,687.0,2512.0,861.0,3746.0,4765.0
Appling,2007,65525.0,132642.0,448.0,385.0,223.0,181.0,376.0,,271.0,4077.0,1528.0,3463.0,3702.0,809.0,662.0,155.0,162.0,2380.0,1370.0,4682.0,9303.0
Atkinson,2002,31267.0,162847.0,2602.0,2152.0,1274.0,5184.0,62.0,,22826.0,1249.0,852.0,2427.0,1138.0,205.0,106.0,828.0,97.0,1346.0,641.0,1224.0,1936.0
Atkinson,2007,47935.0,245819.0,123.0,119.0,116.0,47.0,241.0,,120.0,2210.0,962.0,1625.0,1177.0,559.0,556.0,37.0,72.0,1212.0,693.0,4003.0,2383.0
Bacon,2002,29063.0,87016.0,3091.0,1814.0,1269.0,7356.0,90.0,,14736.0,882.0,569.0,1866.0,1910.0,627.0,613.0,736.0,140.0,1299.0,970.0,1588.0,3313.0
Bacon,2007,47077.0,144409.0,241.0,256.0,170.0,38.0,89.0,,162.0,2646.0,922.0,3323.0,4348.0,728.0,351.0,77.0,38.0,1818.0,879.0,3022.0,4416.0
Baker,2002,27752.0,188792.0,4405.0,4007.0,2286.0,2728.0,133.0,,6717.0,1240.0,796.0,2214.0,2664.0,344.0,530.0,3365.0,853.0,1704.0,1014.0,1069.0,1922.0
Baker,2007,39595.0,253814.0,86.0,85.0,100.0,51.0,56.0,,86.0,3431.0,752.0,2434.0,2665.0,390.0,611.0,57.0,65.0,1582.0,1074.0,3084.0,2050.0
Baldwin,2002,6869.0,35593.0,208.0,60.0,30.0,492.0,173.0,,2549.0,280.0,141.0,659.0,151.0,,33.0,244.0,,176.0,198.0,530.0,591.0
Baldwin,2007,5428.0,31931.0,108.0,73.0,58.0,46.0,15.0,,142.0,330.0,80.0,446.0,39.0,24.0,9.0,30.0,,368.0,326.0,231.0,388.0
Banks,2002,71532.0,116501.0,521.0,296.0,156.0,24357.0,240.0,,63556.0,2020.0,1775.0,2545.0,1120.0,323.0,280.0,328.0,60.0,2277.0,1476.0,2159.0,3304.0
Banks,2007,112373.0,212025.0,285.0,320.0,198.0,271.0,367.0,,529.0,2673.0,1969.0,2353.0,1402.0,277.0,206.0,60.0,23.0,2963.0,1129.0,10165.0,4117.0
Barrow,2002,35487.0,78685.0,502.0,408.0,167.0,4788.0,24.0,,12498.0,866.0,877.0,1253.0,736.0,231.0,716.0,147.0,17.0,1337.0,566.0,729.0,2349.0
Barrow,2007,28391.0,60925.0,148.0,135.0,92.0,147.0,174.0,,366.0,1324.0,1086.0,1773.0,1289.0,287.0,38.0,29.0,79.0,699.0,1209.0,2096.0,1904.0
Bartow,2002,41526.0,70863.0,2070.0,741.0,446.0,12387.0,272.0,,38014.0,2346.0,746.0,3001.0,2611.0,262.0,401.0,923.0,331.0,1537.0,899.0,2011.0,2552.0
Bartow,2007,76521.0,152737.0,315.0,119.0,215.0,266.0,205.0,,457.0,2535.0,1445.0,2681.0,4142.0,400.0,316.0,65.0,53.0,1692.0,1339.0,7340.0,7232.0
Ben Hill,2002,11947.0,68662.0,3144.0,1493.0,1432.0,457.0,27.0,,2262.0,788.0,327.0,877.0,702.0,129.0,105.0,748.0,48.0,400.0,636.0,649.0,1154.0
Ben Hill,2007,17147.0,75537.0,116.0,95.0,79.0,27.0,63.0,,110.0,1690.0,380.0,1301.0,1136.0,181.0,51.0,40.0,44.0,771.0,715.0,1341.0,2336.0
Berrien,2002,24357.0,50534.0,5000.0,4190.0,2372.0,4036.0,366.0,,8232.0,1431.0,528.0,3256.0,2806.0,342.0,414.0,2360.0,330.0,1838.0,879.0,1775.0,1996.0
Berrien,2007,43819.0,105083.0,325.0,228.0,216.0,73.0,542.0,,222.0,3857.0,888.0,2828.0,2871.0,1141.0,261.0,90.0,125.0,1999.0,1255.0,2406.0,6808.0
Bibb,2002,5042.0,29834.0,296.0,86.0,38.0,438.0,9.0,,2790.0,165.0,127.0,322.0,150.0,71.0,,496.0,,283.0,235.0,283.0,383.0
Bibb,2007,6410.0,52117.0,83.0,65.0,35.0,25.0,5.0,,113.0,388.0,154.0,437.0,149.0,12.0,88.0,23.0,47.0,80.0,293.0,745.0,426.0
Bleckley,2002,7220.0,27662.0,3727.0,1411.0,1822.0,216.0,174.0,,433.0,526.0,158.0,902.0,231.0,,53.0,1203.0,,474.0,736.0,381.0,612.0
Bleckley,2007,18058.0,58631.0,165.0,121.0,103.0,43.0,196.0,,166.0,2393.0,688.0,1881.0,615.0,117.0,330.0,49.0,53.0,1019.0,777.0,1373.0,1402.0
Brantley,2002,10012.0,37083.0,637.0,385.0,61.0,,49.0,,2050.0,368.0,209.0,547.0,219.0,90.0,82.0,84.0,10.0,402.0,389.0,,464.0
Brantley,2007,7800.0,34665.0,171.0,139.0,111.0,44.0,42.0,,160.0,581.0,174.0,1009.0,473.0,73.0,83.0,57.0,36.0,288.0,352.0,648.0,560.0
Brooks,2002,46299.0,104513.0,7909.0,7606.0,5027.0,2141.0,324.0,,3906.0,2001.0,1144.0,4399.0,5353.0,3598.0,370.0,2358.0,276.0,3849.0,1902.0,4011.0,4166.0
Brooks,2007,57975.0,126859.0,268.0,223.0,176.0,67.0,113.0,,205.0,3922.0,1248.0,3551.0,5585.0,3473.0,1035.0,120.0,272.0,3010.0,2030.0,4901.0,6562.0
Bryan,2002,1039.0,15984.0,200.0,139.0,,44.0,,,219.0,67.0,18.0,91.0,82.0,,,54.0,,81.0,128.0,107.0,163.0
Bryan,2007,1966.0,25535.0,41.0,32.0,26.0,14.0,39.0,,41.0,226.0,61.0,254.0,157.0,,14.0,11.0,,160.0,183.0,89.0,247.0
Bulloch,2002,42125.0,66130.0,11377.0,7199.0,5867.0,1146.0,218.0,,8237.0,2177.0,1176.0,3248.0,3277.0,1438.0,388.0,3852.0,666.0,3710.0,1354.0,2532.0,3910.0
