county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
Apache,2007,,805.0,,805.0,629.0,176.0,12211.0,7745.0,1107,3247,1306.0,199.0,66,540.0,96.0,606.0,505.0,101.0,555,1054.0,105766.0
Apache,2012,307.0,2860.0,198.0,2860.0,797.0,2063.0,18814.0,9042.0,1215,3429,3134.0,823.0,318,732.0,156.0,610.0,446.0,164.0,613,1172.0,139313.0
Cochise,2007,7781.0,2865.0,3258.0,2513.0,1032.0,1481.0,22351.0,6970.0,12163,7804,10359.0,3746.0,3258,3616.0,621.0,6879.0,5574.0,1305.0,2496,9085.0,28445.0
Cochise,2012,11286.0,5667.0,5280.0,2276.0,1253.0,1023.0,24763.0,8144.0,16168,9006,16195.0,5357.0,5723,8686.0,945.0,7129.0,5082.0,2047.0,3731,8961.0,36323.0
Coconino,2007,114.0,1727.0,69.0,1727.0,818.0,909.0,9981.0,3874.0,899,2313,4390.0,412.0,77,904.0,30.0,876.0,450.0,426.0,782,1917.0,6147.0
Coconino,2012,54.0,2131.0,23.0,2131.0,953.0,1179.0,12948.0,5609.0,986,2457,4796.0,523.0,624,1270.0,117.0,856.0,476.0,380.0,944,2897.0,6799.0
Gila,2007,27.0,357.0,64.0,357.0,295.0,62.0,1562.0,565.0,200,648,1449.0,,20,98.0,,256.0,196.0,60.0,423,291.0,144314.0
Gila,2012,30.0,734.0,27.0,734.0,549.0,185.0,1375.0,730.0,309,480,1293.0,157.0,30,348.0,16.0,394.0,353.0,41.0,338,501.0,179576.0
Graham,2007,181.0,618.0,97.0,618.0,542.0,76.0,1414.0,683.0,401,713,950.0,158.0,242,124.0,89.0,174.0,97.0,77.0,218,234.0,115982.0
Graham,2012,654.0,300.0,195.0,300.0,260.0,40.0,2663.0,839.0,625,1164,1391.0,263.0,216,309.0,50.0,472.0,440.0,32.0,197,575.0,152145.0
Greenlee,2007,13377.0,9350.0,5658.0,436.0,,,,,4928,8073,9875.0,16757.0,4321,14826.0,2925.0,1459.0,84.0,1374.0,620,7761.0,6355.0
Greenlee,2012,19978.0,10392.0,6264.0,801.0,446.0,355.0,,8974.0,11429,11116,13908.0,9475.0,7042,16602.0,3124.0,,,1692.0,1422,18146.0,9986.0
