county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
,2007,2308.0,10939.0,547.0,170.0,131.0,496.0,,,1121.0,231.0,57.0,340.0,161.0,57.0,23.0,70.0,,230.0,108.0,152.0,491.0
,2012,4078.0,21576.0,103.0,59.0,51.0,24.0,50.0,,134.0,386.0,89.0,340.0,151.0,55.0,10.0,23.0,9.0,157.0,180.0,165.0,687.0
Alabama,2007,3922143.0,80449.0,241072.0,146534.0,141628.0,751245.0,56499.0,,2195586.0,163784.0,94692.0,188980.0,208023.0,24373.0,20956.0,103461.0,17709.0,130780.0,43059.0,308835.0,249083.0
Alabama,2012,4736277.0,109578.0,27461.0,19390.0,13866.0,11619.0,81263.0,,30051.0,179640.0,118590.0,194117.0,225716.0,33643.0,53633.0,8172.0,22504.0,145257.0,47636.0,136014.0,298061.0
Autauga,2007,16602.0,40006.0,2237.0,1250.0,1246.0,610.0,165.0,,3174.0,1298.0,525.0,1811.0,3618.0,333.0,172.0,1121.0,331.0,1100.0,375.0,1623.0,1849.0
Autauga,2012,18315.0,47083.0,257.0,190.0,175.0,67.0,225.0,,220.0,1547.0,609.0,1537.0,2042.0,244.0,203.0,75.0,343.0,892.0,418.0,842.0,2074.0
Baldwin,2007,87337.0,76678.0,15520.0,12690.0,8912.0,3949.0,646.0,,6687.0,5361.0,1781.0,7449.0,16550.0,1010.0,883.0,5204.0,1239.0,3128.0,1050.0,10040.0,12298.0
Baldwin,2012,108005.0,109206.0,767.0,560.0,450.0,169.0,638.0,,571.0,6703.0,2337.0,9473.0,13867.0,3129.0,2158.0,193.0,1250.0,4182.0,963.0,10981.0,8033.0
Barbour,2007,64186.0,103028.0,2325.0,1560.0,1571.0,19139.0,1331.0,,42490.0,2466.0,1637.0,2972.0,2709.0,461.0,244.0,1130.0,309.0,2494.0,689.0,4267.0,4077.0
Barbour,2012,86281.0,151105.0,308.0,199.0,167.0,90.0,1258.0,,271.0,2810.0,1858.0,2579.0,3847.0,644.0,905.0,79.0,760.0,2249.0,856.0,1559.0,4792.0
Blount,2007,135684.0,95958.0,2451.0,1197.0,747.0,20999.0,2260.0,,95472.0,4782.0,3551.0,4297.0,3429.0,439.0,200.0,1223.0,89.0,4103.0,1063.0,12658.0,7378.0
Blount,2012,150528.0,121296.0,799.0,658.0,375.0,443.0,1811.0,,1005.0,4543.0,4554.0,4206.0,4493.0,724.0,1514.0,208.0,107.0,4175.0,1213.0,2910.0,9942.0
Bullock,2007,33039.0,119275.0,1637.0,861.0,3634.0,1861.0,,,12106.0,2193.0,1968.0,1869.0,5298.0,,381.0,750.0,,1119.0,586.0,1888.0,1704.0
Bullock,2012,41030.0,150294.0,157.0,99.0,88.0,53.0,279.0,,149.0,2712.0,1988.0,2197.0,5965.0,187.0,220.0,57.0,,1591.0,834.0,1429.0,1633.0
Butler,2007,79661.0,162574.0,1016.0,391.0,491.0,31514.0,540.0,,46330.0,1913.0,1603.0,2256.0,2115.0,207.0,67.0,434.0,,1540.0,420.0,5879.0,2540.0
Butler,2012,92835.0,228095.0,260.0,155.0,112.0,112.0,432.0,,295.0,1932.0,1739.0,1817.0,2342.0,107.0,700.0,82.0,31.0,1916.0,449.0,1625.0,4528.0
Calhoun,2007,59991.0,81621.0,1451.0,492.0,1176.0,21891.0,359.0,,33780.0,2124.0,1564.0,2461.0,4886.0,,239.0,659.0,,1564.0,663.0,4585.0,2569.0
Calhoun,2012,75827.0,128087.0,449.0,298.0,245.0,149.0,946.0,,481.0,2117.0,1637.0,2242.0,4931.0,239.0,672.0,87.0,324.0,1092.0,612.0,2503.0,3394.0
Chambers,2007,8221.0,24468.0,1764.0,308.0,263.0,658.0,276.0,,2990.0,729.0,173.0,960.0,759.0,54.0,85.0,715.0,21.0,528.0,409.0,479.0,1003.0
Chambers,2012,12734.0,42305.0,180.0,122.0,86.0,68.0,588.0,,202.0,934.0,265.0,1004.0,1934.0,181.0,82.0,35.0,13.0,655.0,402.0,565.0,1404.0
