county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
Autauga,2007,1472,599,564.0,333.0,165.0,168.0,1667.0,1298,525,1811,3618.0,333.0,172,782,331.0,1100,819,281,375,1623,1849.0
Autauga,2012,2237,1250,1246.0,610.0,225.0,385.0,3174.0,1547,609,1537,2042.0,244.0,203,1121,343.0,892,723,169,418,842,2074.0
Baldwin,2007,9046,9144,4827.0,2874.0,646.0,2228.0,7619.0,5361,1781,7449,16550.0,1010.0,883,5336,1239.0,3128,2352,777,1050,10040,12298.0
Baldwin,2012,15520,12690,8912.0,3949.0,638.0,3311.0,6687.0,6703,2337,9473,13867.0,3129.0,2158,5204,1250.0,4182,2962,1220,963,10981,8033.0
Barbour,2007,2378,1096,792.0,15694.0,1331.0,14363.0,25308.0,2466,1637,2972,2709.0,461.0,244,671,309.0,2494,1932,561,689,4267,4077.0
Barbour,2012,2325,1560,1571.0,19139.0,1258.0,17881.0,42490.0,2810,1858,2579,3847.0,644.0,905,1130,760.0,2249,1979,269,856,1559,4792.0
Bibb,2007,241,19,37.0,64.0,50.0,14.0,538.0,231,57,340,161.0,57.0,23,49,,230,199,31,108,152,
Bibb,2012,547,170,131.0,496.0,,,1121.0,386,89,340,151.0,55.0,10,70,9.0,157,139,18,180,165,
Blount,2007,2438,915,631.0,18508.0,2260.0,16248.0,77703.0,4782,3551,4297,3429.0,439.0,200,878,89.0,4103,3536,567,1063,12658,7378.0
Blount,2012,2451,1197,747.0,20999.0,1811.0,19188.0,95472.0,4543,4554,4206,4493.0,724.0,1514,1223,107.0,4175,3441,734,1213,2910,9942.0
Bullock,2007,1210,920,,1485.0,279.0,1206.0,6357.0,2193,1968,1869,5298.0,187.0,381,532,,1119,754,365,586,1888,1704.0
Bullock,2012,1637,861,3634.0,,,1861.0,12106.0,2712,1988,2197,5965.0,,220,750,,1591,1189,402,834,1429,1633.0
Butler,2007,963,336,,24133.0,540.0,23593.0,37120.0,1913,1603,2256,2115.0,207.0,67,403,,1540,1249,290,420,5879,2540.0
Butler,2012,1016,391,491.0,31514.0,432.0,31082.0,46330.0,1932,1739,1817,2342.0,107.0,700,434,31.0,1916,1568,348,449,1625,4528.0
Calhoun,2007,1621,569,1286.0,17693.0,359.0,17333.0,19573.0,2124,1564,2461,4886.0,239.0,239,600,324.0,1564,1192,372,663,4585,2569.0
Calhoun,2012,1451,492,1176.0,21891.0,946.0,20945.0,33780.0,2117,1637,2242,4931.0,,672,659,,1092,806,287,612,2503,3394.0
Chambers,2007,1217,144,261.0,431.0,276.0,155.0,1853.0,729,173,960,759.0,54.0,85,120,21.0,528,424,104,409,479,1003.0
Chambers,2012,1764,308,263.0,658.0,588.0,71.0,2990.0,934,265,1004,1934.0,181.0,82,715,13.0,655,571,84,402,565,1404.0
Cherokee,2007,3677,2135,2441.0,4450.0,410.0,4040.0,20779.0,2246,1161,2628,4886.0,209.0,225,792,117.0,1991,1520,472,741,6082,3136.0
Cherokee,2012,7367,4339,4869.0,10420.0,472.0,9948.0,48911.0,3140,1571,2927,6097.0,204.0,950,1574,54.0,3063,2586,477,959,2218,4325.0
Chilton,2007,1733,567,479.0,1045.0,,,2198.0,1353,630,1703,1997.0,520.0,130,324,71.0,1300,860,440,477,617,2014.0
Chilton,2012,1219,426,486.0,1733.0,392.0,1341.0,2648.0,1311,526,1327,2700.0,593.0,243,991,38.0,1135,928,207,495,777,2241.0
Choctaw,2007,354,119,64.0,1265.0,37.0,1228.0,5469.0,395,165,750,227.0,43.0,19,163,43.0,320,269,51,211,846,537.0
Choctaw,2012,333,129,202.0,662.0,61.0,601.0,3180.0,377,151,315,123.0,60.0,42,439,23.0,259,210,49,173,137,562.0
Clarke,2007,541,91,137.0,122.0,74.0,48.0,741.0,390,134,561,105.0,33.0,31,70,51.0,276,224,52,356,158,372.0
Clarke,2012,546,134,128.0,261.0,108.0,153.0,1018.0,387,168,344,254.0,26.0,20,178,8.0,340,324,16,185,143,484.0
Clay,2007,722,108,78.0,,,3129.0,16470.0,1127,593,986,,95.0,37,225,25.0,1192,957,235,327,2546,2469.0
Clay,2012,718,168,173.0,7697.0,608.0,7089.0,32696.0,1366,852,1016,756.0,69.0,463,990,10.0,1304,1159,145,365,735,3070.0
Cleburne,2007,647,174,188.0,12182.0,605.0,11577.0,29144.0,1387,916,1092,2388.0,121.0,69,137,11.0,903,721,183,373,4665,1761.0
Cleburne,2012,671,221,285.0,16329.0,827.0,15502.0,40885.0,1574,1582,1656,2763.0,137.0,638,1083,5.0,898,898,185,404,1241,2241.0
Coffee,2007,4140,2739,2135.0,35994.0,2446.0,33548.0,82009.0,4859,2808,4423,4585.0,801.0,822,2086,297.0,3773,2812,961,963,13554,7205.0
Coffee,2012,6486,4443,4079.0,44773.0,1944.0,42829.0,105327.0,6419,4495,6317,6800.0,1548.0,2440,1945,207.0,5738,4790,948,1235,4950,9709.0
Colbert,2007,3478,1937,1544.0,4142.0,429.0,3714.0,15919.0,2399,872,2056,1856.0,148.0,203,798,176.0,1756,1239,517,667,3216,3714.0
Colbert,2012,11282,5329,5254.0,3507.0,462.0,3045.0,17276.0,3520,1189,3692,3064.0,736.0,845,3142,1959.0,2844,2048,796,1129,2128,6229.0
Conecuh,2007,1533,288,411.0,834.0,207.0,627.0,2218.0,818,284,960,518.0,77.0,132,220,7.0,335,174,161,329,544,1153.0
Conecuh,2012,1594,999,1012.0,1020.0,329.0,692.0,4928.0,1047,349,931,619.0,130.0,203,345,43.0,1042,767,275,378,744,1456.0
Coosa,2007,219,38,,307.0,58.0,249.0,440.0,281,55,412,69.0,13.0,3,89,,349,308,41,164,91,695.0
Coosa,2012,159,45,14.0,228.0,70.0,158.0,482.0,257,136,286,326.0,47.0,14,115,1.0,215,191,24,191,78,311.0
Covington,2007,4227,2156,1881.0,13164.0,2606.0,10558.0,33338.0,3235,1799,3832,2505.0,607.0,1207,1803,495.0,3320,2351,968,839,6020,5270.0
Covington,2012,5911,3222,3491.0,10983.0,5159.0,5825.0,54865.0,3765,2418,4073,4156.0,774.0,1201,1846,107.0,3041,2514,527,1009,2955,7755.0
Crenshaw,2007,1127,252,347.0,13395.0,755.0,12640.0,56198.0,2865,1841,2944,959.0,259.0,318,562,10.0,2091,1719,372,648,8618,3655.0
Crenshaw,2012,1739,548,621.0,16967.0,1616.0,15351.0,78273.0,2828,2348,2473,1334.0,356.0,1341,1282,249.0,2884,2621,263,672,1632,5660.0
Cullman,2007,4814,1349,1292.0,72339.0,5355.0,66984.0,179309.0,9553,8396,10038,8557.0,1337.0,938,1893,672.0,6813,5814,999,1782,29770,13396.0
Cullman,2012,4504,1835,1588.0,65481.0,10360.0,55121.0,218744.0,7630,9107,8647,8275.0,1150.0,2972,1856,615.0,7601,6253,1348,1724,5220,15851.0
Dale,2007,2411,1693,1167.0,8036.0,828.0,7208.0,34747.0,2362,1170,2464,1284.0,172.0,246,1508,94.0,2581,2236,346,473,5954,3802.0
Dale,2012,3369,3164,1961.0,11100.0,1636.0,9464.0,54878.0,2723,1801,2252,1866.0,216.0,888,2056,102.0,3079,2692,387,527,1601,6366.0
Dallas,2007,2432,1850,1613.0,4154.0,377.0,3777.0,11956.0,2659,2119,3369,5517.0,567.0,331,1403,860.0,2305,1658,647,778,1488,5181.0
Dallas,2012,4564,2521,3124.0,4244.0,671.0,3574.0,18345.0,3339,2519,3261,7323.0,800.0,890,2361,1211.0,2559,2019,540,801,1700,5179.0
DeKalb,2007,5683,1739,1655.0,92183.0,6309.0,85874.0,158873.0,10412,7747,11205,9315.0,939.0,910,1736,790.0,7652,6596,1056,2008,27335,15922.0
DeKalb,2012,5760,2465,2266.0,104405.0,9123.0,95282.0,212044.0,10396,9587,11095,11440.0,1187.0,4146,2529,263.0,8182,6925,1257,2359,6653,16467.0
Elmore,2007,2546,1059,1575.0,773.0,327.0,446.0,2224.0,1754,611,1633,2231.0,81.0,304,781,138.0,1463,769,694,519,1307,2106.0
Elmore,2012,2527,1302,1794.0,1038.0,285.0,752.0,4846.0,1813,555,1594,2777.0,297.0,404,855,173.0,1164,952,211,677,1904,2600.0
Escambia,2007,4017,3981,2551.0,1096.0,398.0,698.0,998.0,2312,424,2453,2072.0,153.0,1166,2192,562.0,1369,927,443,465,1238,3663.0
Escambia,2012,5323,5234,4002.0,,207.0,,1940.0,2301,550,2176,1818.0,258.0,483,2922,,1962,1506,456,622,1125,4380.0
