county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Alameda,2007,54232,103300,2995,3562,1156,719,435,,4095,3660,1736,3062,15576,4941,1890,2430,298,3454,2468,4820,6774
Alameda,2012,43044,95229,182,216,108,105,456,,290,2621,1469,2125,10492,3079,478,123,235,2673,2914,2000,4651
Alpine,2007,,,,,,,,,,,,,,,,,,,40,,
Alpine,2012,257,85533,,1,,1,,,2,1,,,7,,,1,,49,15,,
Amador,2007,24865,51909,587,877,346,678,402,,2121,1138,819,1926,3854,2292,549,2387,160,2488,2471,2871,3840
Amador,2012,27281,59179,180,210,78,101,367,,296,1123,1305,1802,4591,3836,781,73,114,1761,2929,2044,3539
Butte,2007,275797,134667,33658,39353,12273,2243,685,,8052,18239,12745,22659,48914,9106,15075,16149,4218,16588,13075,33707,28354
Butte,2012,365905,177969,1353,1274,779,228,1092,,690,26269,19487,27873,66947,13120,21270,302,3779,24333,18149,32949,39434
Calaveras,2007,20228,32057,295,408,192,1729,731,,6413,1235,634,1822,2456,914,134,1863,84,1392,2198,1151,2184
Calaveras,2012,26174,39478,164,189,129,142,756,,424,2002,854,1348,3564,1412,444,102,79,1412,2288,1871,3136
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Colusa,2007,309793,380582,46508,48467,20257,4124,292,,1895,22130,15630,22493,43355,13810,24113,34209,5657,13405,6144,34452,23314
Colusa,2012,505021,645807,592,585,498,58,728,,150,35059,23118,44119,89073,45354,37387,304,10680,18575,7993,38202,38824
Del Norte,2007,27789,326932,545,,521,260,,,8440,1051,1412,1980,8141,,225,1197,,1983,477,783,1768
Del Norte,2012,31190,257771,32,15,25,21,220,,70,1716,1464,2763,9725,196,169,11,19,2072,743,938,1681
El Dorado,2007,35236,27788,509,721,406,1698,894,,3782,2186,1512,3909,5231,2380,187,761,190,5121,4564,2853,4717
El Dorado,2012,38139,28084,598,603,364,243,586,,663,1601,1660,2333,7059,3287,312,67,140,4760,5592,3517,4248
Fresno,2007,3028036,497950,216341,297669,146570,218172,13107,,672601,138155,164655,176286,419707,325159,122347,105615,23872,102776,55344,244760,150314
Fresno,2012,4003281,704431,4342,4540,1777,444,7687,,1234,181428,226012,219633,451165,491107,188093,1047,59504,139862,81126,308381,272948
Glenn,2007,299929,241489,37479,39710,11514,14343,1652,,44361,19194,13513,23227,35025,17949,17068,31808,4673,13588,8530,24596,27673
Glenn,2012,493164,376174,802,858,538,166,1393,,388,29316,24617,37044,69288,36701,22433,343,9134,21719,10571,53126,36944
Humboldt,2007,132066,155007,1032,892,,2276,,,35459,6779,4798,15735,39133,,1347,11108,876,7187,3776,9491,7420
Humboldt,2012,181245,194887,267,145,189,206,1695,,519,5903,5199,14356,41400,11804,981,227,724,6614,4344,11076,10105
Imperial,2007,1119951,2477769,159170,109151,89130,264679,1917,,249952,39719,39174,47058,107600,50330,56025,108420,10011,23344,6856,62715,26653
Imperial,2012,1650321,3920003,348,308,253,57,2246,,74,72015,62501,69195,162027,98805,80155,244,20274,20365,12482,72000,49223
Inyo,2007,12042,128109,565,124,87,1085,452,,3809,1076,569,801,1726,62,190,1981,32,369,503,1151,858
Inyo,2012,16828,134622,26,28,16,27,732,,66,854,853,1562,3149,312,224,55,80,608,258,1276,870
Kern,2007,2419092,1142698,179664,248270,85073,88369,8103,,341371,96626,178069,165314,340948,334785,71568,114383,17601,94390,47171,317129,146813
Kern,2012,3394697,1751650,1116,1113,681,299,4910,,805,147659,245677,225273,463843,568491,102354,486,46481,123882,61446,352462,197213
Kings,2007,1043310,924101,64247,86303,41886,104841,20969,,515810,52679,45826,80810,128323,55367,32560,38451,12678,44370,15939,77806,66079
Kings,2012,1591497,1507099,723,681,503,178,91894,,426,74769,72816,95561,153584,69679,58472,289,16017,47267,25391,126403,100759
Lake,2007,60528,71631,1521,3410,1694,264,117,,1517,3161,1656,3965,14362,6567,1287,2812,594,6483,4175,7817,9298
Lake,2012,74236,88587,530,340,230,80,181,,264,3069,2825,4191,15340,14725,2122,47,755,5966,5232,8793,7475
Lassen L,2007,52763,114952,4191,4645,685,3069,918,,6507,4768,2467,4364,12712,,1219,3869,,3825,,3306,5058
Lassen L,2012,73976,165125,135,147,139,160,891,,310,5349,3638,5091,18026,1819,1167,110,181,7751,2047,3433,7430
Madera,2007,739200,432787,58831,83874,26187,36448,4800,,159266,35558,43145,52667,128657,59583,39140,31699,6045,29195,20829,53165,56254
Madera,2012,1144550,759489,1029,1115,477,249,17524,,582,68476,86043,82955,143685,103792,64050,263,11388,51382,25473,111002,106731
Marin,2007,49885,195627,371,141,441,1951,957,,36133,1573,1451,4291,7413,532,740,4864,157,1614,1274,4276,4079
Marin,2012,87044,269487,80,49,72,76,1597,,172,3126,2955,5315,18186,1361,1254,104,133,1924,3817,5074,4876
Mariposa,2007,13104,43392,74,99,50,7728,448,,2730,823,377,1077,668,185,74,2447,48,880,919,908,1241
Mariposa,2012,21977,60377,36,71,24,78,1183,,227,920,524,847,1830,482,790,73,157,817,1407,1076,2176
Mendocino,2007,127099,111883,2490,4515,1776,1360,1000,,4706,6148,3762,9764,36105,12754,2295,7023,1132,12746,7908,14515,20929
Mendocino,2012,136299,111721,585,415,324,150,935,,467,5875,3889,7926,44378,14134,4206,121,737,12707,8758,11819,15225
Merced,2007,1754503,672997,108116,110992,55188,102178,11578,,889640,70097,65729,118550,225931,52704,75602,63650,10507,65556,31581,121310,116891
Merced,2012,2452624,986575,1768,1816,1148,426,25889,,835,103203,98598,130072,272448,98388,111668,653,18131,75879,44393,170080,159244
Modoc,2007,59810,133504,8614,5816,3280,4449,1174,,9360,5384,3921,5052,6869,533,1635,8335,726,4548,2407,4499,5975
Modoc,2012,97747,223678,172,160,160,125,3362,,219,9199,7308,7619,15569,525,2290,160,1000,5078,3285,6021,8528
Mono,2007,7997,95206,408,146,135,250,28,,860,762,756,1159,1211,,80,,,526,487,899,1489
Mono,2012,10510,145975,12,14,14,14,53,,45,1307,1162,1177,1370,149,296,17,,526,556,1692,1069
Monterey,2007,1629133,1358743,171526,199895,140054,7894,1212,,15917,64257,56200,111834,374149,259965,34884,220481,20248,42034,19759,176003,80059
Monterey,2012,2194732,1861520,673,577,547,183,1234,,479,92755,72338,111811,488785,328747,39564,402,27875,42108,26767,208216,104546
Napa,2007,344210,210140,8543,19239,15180,,147,,1469,6485,5738,19022,88771,64843,10927,20792,,42599,28417,35890,69679
Napa,2012,502222,298054,1322,1239,709,65,187,,191,10297,8268,20550,129633,92553,17946,142,1997,59139,37110,52239,63103
Nevada,2007,19425,28152,273,145,224,525,474,,2737,1436,929,2345,2028,671,424,691,22,2891,2169,1904,2970
Nevada,2012,18056,24334,223,212,191,205,294,,503,972,1014,1465,2585,961,98,65,81,2289,2614,1382,1662
Orange,2007,247927,762853,9555,8029,15152,696,48,,1541,5297,7637,13666,97723,9124,1687,5924,3788,4238,2820,37929,5599
Orange,2012,187048,599513,185,157,113,28,19,,91,6313,7476,8044,65079,19767,1108,83,4440,2081,2846,28997,4810
Placer,2007,55571,37346,2514,2023,1387,2147,685,,7083,3530,2823,5352,9275,909,1050,3840,453,4934,4485,4995,5211
Placer,2012,55458,40928,588,519,319,328,701,,1047,3280,3309,4352,10124,1261,935,138,709,3421,4259,4812,4248
Plumas,2007,11522,81142,181,86,222,,,,3520,454,,,863,,,4486,,901,,,890
Plumas,2012,22774,161519,27,31,30,55,169,,111,908,425,829,2429,,,22,,636,791,618,976
Riverside S,2007,825129,238270,42851,46472,45655,12214,5979,,181604,29347,49972,59002,159307,78711,16349,31739,4134,36301,23099,81359,43316
Riverside S,2012,939539,318596,2013,1576,933,377,5220,,1393,39193,66517,61094,171746,85538,20109,285,8810,25735,22557,77706,45535
San Benito,2007,167096,267354,7182,6052,7533,5670,1523,,10505,7002,6454,9093,38951,13056,1387,10203,2040,5947,4953,26506,14475
San Benito,2012,131936,210089,260,274,197,95,1494,,293,6654,5173,8694,29249,12812,1599,152,1381,4123,5089,10017,8497
San Bernardino,2007,549885,391377,2191,4488,7846,22852,10071,,288286,11856,16393,30107,78626,7245,9151,7261,1530,15357,6360,40410,33468
San Bernardino,2012,526895,421854,630,560,352,223,8681,,758,12031,14532,22722,58461,7156,10485,193,4253,9854,6442,48035,22114
San Diego Sa,2007,869784,130071,27006,17622,64358,3547,1757,,50660,28845,67513,68793,281127,34547,4180,13196,4990,32603,28738,104435,45942
San Diego Sa,2012,671976,117232,5184,3468,1778,372,1007,,1374,22678,68874,36369,233301,28066,3897,414,4855,20362,28232,48952,38280
