"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Alabama,Autauga,Baldwin,Barbour,Bibb,,Blount
"Total farm production expenses  .................................. farms, 2012 2007","43,223 48,753",389 415,"989 1,139",571 623,,189 211,"1,241 1,414"
"$1,000, 2012 2007","4,736,277 3,922,143","18,315 16,602","108,005 87,337","86,281 64,186",,"4,078 2,308","150,528 135,684"
"Average per farm ................................................ dollars, 2012 2007","109,578 80,449","47,083 40,006","109,206 76,678","151,105 103,028",,"21,576 10,939","121,296 95,958"
"Fertilizer, lime, and soil conditioners       purchased  ............................................................. farms, 2012","22,361",221,596,244,,80,673
"2007 $1,000, 2012","27,461 241,072","257 2,237","767 15,520","308 2,325",,103 547,"799 2,451"
"2007     Chemicals purchased  .............................................. farms, 2012","168,838 20,270","1,472 192","9,046 581","2,378 204",,241 54,"2,438 663"
"2007 $1,000, 2012","19,390 146,534","190 1,250","560 12,690","199 1,560",,59 170,"658 1,197"
"2007     Seeds, plants, vines, and trees purchased .............. farms, 2012","84,495 13,358",599 154,"9,144 461","1,096 145",,19 41,915 286
"2007 $1,000, 2012","13,866 141,628","175 1,246","450 8,912","167 1,571",,51 131,375 747
2007,"87,849",564,"4,827",792,,37,631
"Livestock and poultry purchased or       leased .................................................................... farms, 2012","11,777",78,191,108,,33,405
"2007 $1,000, 2012","11,619 751,245",67 610,"169 3,949","90 19,139",,24 496,"443 20,999"
2007         Breeding livestock purchased or,"701,381",333,"2,874","15,694",,64,"18,508"
"leased  ................................................................ farms, 2012 2007","6,793 5,994",46 42,98 97,58 40,,23 15,213 206
"$1,000, 2012 2007","81,263 56,499",225 165,638 646,"1,258 1,331",,(D) 50,"1,811 2,260"
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012","6,491",41,110,71,,14,257
"2007 $1,000, 2012","7,022 669,983",33 385,"91 3,311","55 17,881",,11 (D),"291 19,188"
"2007     Feed purchased  ...................................................... farms, 2012","644,882 29,985",168 203,"2,228 518","14,363 311",,14 138,"16,248 957"
"2007 $1,000, 2012","30,051 2,195,586","220 3,174","571 6,687","271 42,490",,"134 1,121","1,005 95,472"
2007,"1,611,020","1,667","7,619","25,308",,538,"77,703"
"Gasoline, fuels, and oils purchased  ........................ farms, 2012 2007","41,638 47,750",378 410,"950 1,108",501 586,,189 205,"1,197 1,401"
"$1,000, 2012 2007","179,640 163,784","1,547 1,298","6,703 5,361","2,810 2,466",,386 231,"4,543 4,782"
"Utilities ..................................................................... farms, 2012 2007","25,817 21,735",213 204,651 509,344 242,,91 81,696 688
"$1,000, 2012 2007","118,590 94,692",609 525,"2,337 1,781","1,858 1,637",,89 57,"4,554 3,551"
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007","34,272 44,622",295 386,"780 1,039",415 548,,145 192,"978 1,303"
"$1,000, 2012 2007","194,117 188,980","1,537 1,811","9,473 7,449","2,579 2,972",,340 340,"4,206 4,297"
"Hired farm labor  ...................................................... farms, 2012 2007","11,216 9,541",118 111,257 225,179 113,,27 29,295 308
"$1,000, 2012 2007","225,716 208,023","2,042 3,618","13,867 16,550","3,847 2,709",,151 161,"4,493 3,429"
"Contract labor  .......................................................... farms, 2012 2007","4,028 3,557",36 42,129 116,67 72,,12 12,106 87
"$1,000, 2012 2007","33,643 24,373",244 333,"3,129 1,010",644 461,,55 57,724 439
"Customwork and custom hauling  ............................ farms, 2012 2007","7,133 4,715",33 34,111 126,97 51,,6 12,193 131
"$1,000, 2012 2007","53,633 20,956",203 172,"2,158 883",905 244,,10 23,"1,514 200"
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012","9,321",96,195,103,,35,283
"2007 $1,000, 2012","8,172 103,461","75 1,121","193 5,204","79 1,130",,23 70,"208 1,223"
"2007     Rent and lease expenses for machinery,","67,370",782,"5,336",671,,49,878
"equipment, and farm share of vehicles .................. farms, 2012 2007","1,802 1,738",21 20,34 61,17 19,,5 -,42 67
"$1,000, 2012 2007","22,504 17,709",343 331,"1,250 1,239",760 309,,9 -,107 89
"Interest expense  ...................................................... farms, 2012 2007","13,750 11,714",99 103,290 267,192 157,,32 38,376 362
"$1,000, 2012 2007","145,257 130,780","892 1,100","4,182 3,128","2,249 2,494",,157 230,"4,175 4,103"
"Secured by real estate  ........................................ farms, 2012 2007","10,635 9,272",68 73,196 201,147 126,,22 24,288 303
"$1,000, 2012 2007","116,675 101,681",723 819,"2,962 2,352","1,979 1,932",,139 199,"3,441 3,536"
"Not secured by real estate  .................................. farms, 2012 2007","7,310 6,707",56 72,179 141,115 95,,16 24,227 191
"$1,000, 2012 2007","28,582 29,099",169 281,"1,220 777",269 561,,18 31,734 567
"Property taxes paid  ................................................. farms, 2012 2007","41,152 44,234",343 371,"949 1,043",557 562,,181 193,"1,172 1,312"
"$1,000, 2012 2007","47,636 43,059",418 375,"963 1,050",856 689,,180 108,"1,213 1,063"
"All other production expenses (see text)  ................. farms, 2012 2007","20,161 20,733",143 172,455 466,206 225,,70 80,628 687
"$1,000, 2012 2007","136,014 308,835","842 1,623","10,981 10,040","1,559 4,267",,165 152,"2,910 12,658"
"Depreciation expenses claimed (see text) ................... farms, 2012 2007","18,808 18,883",168 180,403 407,259 236,,75 72,547 652
"$1,000, 2012 2007","298,061 249,083","2,074 1,849","8,033 12,298","4,792 4,077",,687 491,"9,942 7,378"
,,,,,,,--continued
