"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,
Item,Bullock,Butler,Calhoun,Chambers,Cherokee,Chilton
"Total farm production expenses  .................................. farms, 2012 2007",273 277,407 490,592 735,301 336,561 654,543 645
"$1,000, 2012 2007","41,030 33,039","92,835 79,661","75,827 59,991","12,734 8,221","98,664 54,560","16,646 15,146"
"Average per farm  ............................................... dollars, 2012 2007","150,294 119,275","228,095 162,574","128,087 81,621","42,305 24,468","175,871 83,425","30,655 23,481"
"Fertilizer, lime, and soil conditioners       purchased  .............................................................. farms, 2012",120,204,310,166,305,309
"2007 $1,000, 2012","157 1,637","260 1,016","449 1,451","180 1,764","396 7,367","394 1,219"
"2007     Chemicals purchased  .............................................. farms, 2012","1,210 102",963 156,"1,621 285","1,217 141","3,677 276","1,733 273"
"2007 $1,000, 2012",99 861,155 391,298 492,122 308,"288 4,339",273 426
"2007     Seeds, plants, vines, and trees purchased  .............. farms, 2012",920 86,336 126,569 206,144 102,"2,135 188",567 192
"2007 $1,000, 2012","88 3,634",112 491,"245 1,176",86 263,"233 4,869",183 486
2007,(D),(D),"1,286",261,"2,441",479
"Livestock and poultry purchased or       leased  .................................................................... farms, 2012",78,102,175,87,129,122
"2007 $1,000, 2012",53 (D),"112 31,514","149 21,891",68 658,"110 10,420","91 1,733"
2007         Breeding livestock purchased or,"1,485","24,133","17,693",431,"4,450","1,045"
"leased  ................................................................ farms, 2012 2007",48 28,51 44,104 79,62 48,69 53,87 65
"$1,000, 2012 2007",(D) 279,432 540,946 359,588 276,472 410,392 (D)
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",39,67,95,33,84,55
"2007 $1,000, 2012","30 1,861","82 31,082","101 20,945",32 71,"63 9,948","34 1,341"
"2007     Feed purchased  ....................................................... farms, 2012","1,206 186","23,593 276","17,333 465",155 222,"4,040 366",(D) 359
"2007 $1,000, 2012","149 12,106","295 46,330","481 33,780","202 2,990","355 48,911","385 2,648"
2007,"6,357","37,120","19,573","1,853","20,779","2,198"
"Gasoline, fuels, and oils purchased  ......................... farms, 2012 2007",264 270,390 477,577 721,300 330,535 641,530 631
"$1,000, 2012 2007","2,712 2,193","1,932 1,913","2,117 2,124",934 729,"3,140 2,246","1,311 1,353"
"Utilities  ..................................................................... farms, 2012 2007",168 142,229 180,376 355,196 143,334 252,307 270
"$1,000, 2012 2007","1,988 1,968","1,739 1,603","1,637 1,564",265 173,"1,571 1,161",526 630
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007",220 256,307 451,493 683,255 312,438 606,453 593
"$1,000, 2012 2007","2,197 1,869","1,817 2,256","2,242 2,461","1,004 960","2,927 2,628","1,327 1,703"
"Hired farm labor  ....................................................... farms, 2012 2007",94 76,101 88,128 127,95 72,131 100,127 116
"$1,000, 2012 2007","5,965 5,298","2,342 2,115","4,931 4,886","1,934 759","6,097 4,886","2,700 1,997"
"Contract labor  .......................................................... farms, 2012 2007",27 27,31 28,40 44,32 24,30 46,47 41
"$1,000, 2012 2007",(D) 187,107 207,(D) 239,181 54,204 209,593 520
"Customwork and custom hauling  ............................. farms, 2012 2007",41 37,81 36,83 50,47 33,88 71,51 50
"$1,000, 2012 2007",220 381,700 67,672 239,82 85,950 225,243 130
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",80,89,113,65,120,116
"2007 $1,000, 2012",57 750,82 434,87 659,35 715,"123 1,574",113 991
"2007     Rent and lease expenses for machinery,",532,403,600,120,792,324
"equipment, and farm share of vehicles  .................. farms, 2012 2007",20 12,14 7,23 26,7 7,28 28,18 19
"$1,000, 2012 2007",(D) (D),31 (D),(D) 324,13 21,54 117,38 71
"Interest expense  ...................................................... farms, 2012 2007",98 70,112 78,130 149,96 74,212 178,172 135
"$1,000, 2012 2007","1,591 1,119","1,916 1,540","1,092 1,564",655 528,"3,063 1,991","1,135 1,300"
"Secured by real estate  ......................................... farms, 2012 2007",83 53,96 65,98 124,78 57,171 149,149 101
"$1,000, 2012 2007","1,189 754","1,568 1,249","806 1,192",571 424,"2,586 1,520",928 860
"Not secured by real estate  ................................... farms, 2012 2007",40 42,65 44,69 81,48 37,99 109,87 88
"$1,000, 2012 2007",402 365,348 290,287 372,84 104,477 472,207 440
"Property taxes paid  .................................................. farms, 2012 2007",252 255,398 441,569 675,293 311,547 596,512 582
"$1,000, 2012 2007",834 586,449 420,612 663,402 409,959 741,495 477
"All other production expenses (see text) .................. farms, 2012 2007",135 116,174 173,267 324,143 122,261 269,239 267
"$1,000, 2012 2007","1,429 1,888","1,625 5,879","2,503 4,585",565 479,"2,218 6,082",777 617
"Depreciation expenses claimed (see text)  ................... farms, 2012 2007",106 114,175 151,242 264,126 97,261 279,226 245
"$1,000, 2012 2007","1,633 1,704","4,528 2,540","3,394 2,569","1,404 1,003","4,325 3,136","2,241 2,014"
,,,,,,--continued
