"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Choctaw,Clarke,Clay,Cleburne,Coffee,Colbert,Conecuh
"Total farm production expenses  .................................. farms, 2012 2007",248 264,263 321,401 432,341 380,899 971,687 736,346 401
"$1,000, 2012 2007","6,606 10,452","4,141 3,798","49,377 28,479","69,643 54,397","207,202 165,987","66,896 41,167","15,385 9,509"
"Average per farm ................................................dollars, 2012 2007","26,635 39,593","15,743 11,832","123,135 65,924","204,232 143,151","230,480 170,945","97,375 55,934","44,466 23,714"
"Fertilizer, lime, and soil conditioners       purchased  ............................................................. farms, 2012",144,161,218,190,458,332,205
"2007 $1,000, 2012",156 333,211 546,260 718,231 671,"474 6,486","371 11,282","243 1,594"
"2007     Chemicals purchased  .............................................. farms, 2012",354 88,541 110,722 192,647 197,"4,140 406","3,478 324","1,533 155"
"2007 $1,000, 2012",68 129,109 134,161 168,172 221,"364 4,443","267 5,329",135 999
"2007     Seeds, plants, vines, and trees purchased .............. farms, 2012",119 91,91 98,108 132,174 115,"2,739 311","1,937 188",288 147
"2007 $1,000, 2012",68 202,97 128,111 173,105 285,"292 4,079","200 5,254","134 1,012"
2007,64,137,78,188,"2,135","1,544",411
"Livestock and poultry purchased or       leased .................................................................... farms, 2012",54,68,140,130,220,170,62
"2007 $1,000, 2012",46 662,43 261,"122 7,697","132 16,329","226 44,773","163 3,507","84 1,020"
2007         Breeding livestock purchased or,"1,265",122,(D),"12,182","35,994","4,142",834
"leased  ................................................................ farms, 2012 2007",24 21,40 24,92 81,69 60,113 96,92 87,43 64
"$1,000, 2012 2007",61 37,108 74,608 (D),827 605,"1,944 2,446",462 429,329 207
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",37,49,70,80,138,111,27
"2007 $1,000, 2012",32 601,25 153,"61 7,089","90 15,502","155 42,829","109 3,045",30 692
"2007     Feed purchased  ...................................................... farms, 2012","1,228 177",48 210,"3,129 324","11,577 263","33,548 479","3,714 456",627 196
"2007 $1,000, 2012","183 3,180","203 1,018","323 32,696","284 40,885","451 105,327","425 17,276","229 4,928"
2007,"5,469",741,"16,470","29,144","82,009","15,919","2,218"
"Gasoline, fuels, and oils purchased  ........................ farms, 2012 2007",233 258,255 317,395 428,329 378,832 948,668 723,331 395
"$1,000, 2012 2007",377 395,387 390,"1,366 1,127","1,574 1,387","6,419 4,859","3,520 2,399","1,047 818"
"Utilities ..................................................................... farms, 2012 2007",126 94,166 116,228 189,213 172,592 422,422 294,202 172
"$1,000, 2012 2007",151 165,168 134,852 593,"1,582 916","4,495 2,808","1,189 872",349 284
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007",195 237,213 297,310 409,304 353,691 887,540 682,259 380
"$1,000, 2012 2007",315 750,344 561,"1,016 986","1,656 1,092","6,317 4,423","3,692 2,056",931 960
"Hired farm labor  ...................................................... farms, 2012 2007",49 42,42 56,100 73,101 91,263 148,193 137,81 67
"$1,000, 2012 2007",123 227,254 105,756 (D),"2,763 2,388","6,800 4,585","3,064 1,856",619 518
"Contract labor  .......................................................... farms, 2012 2007",21 16,7 17,34 34,36 27,115 91,66 42,36 30
"$1,000, 2012 2007",60 43,26 33,69 95,137 121,"1,548 801",736 148,130 77
"Customwork and custom hauling  ............................ farms, 2012 2007",12 19,18 20,62 31,83 45,224 95,104 55,41 42
"$1,000, 2012 2007",42 19,20 31,463 37,638 69,"2,440 822",845 203,203 132
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",49,64,81,53,192,158,100
"2007 $1,000, 2012",27 439,36 178,57 990,43 169,"140 1,945","124 3,142",73 345
"2007     Rent and lease expenses for machinery,",163,70,225,137,"2,086",798,220
"equipment, and farm share of vehicles .................. farms, 2012 2007",7 7,9 16,17 11,9 17,31 31,34 21,18 8
"$1,000, 2012 2007",23 43,8 51,10 25,5 11,207 297,"1,959 176",43 7
"Interest expense  ...................................................... farms, 2012 2007",56 51,46 46,119 113,127 96,359 262,208 161,97 63
"$1,000, 2012 2007",259 320,340 276,"1,304 1,192","1,083 903","5,738 3,773","2,844 1,756","1,042 335"
"Secured by real estate  ........................................ farms, 2012 2007",44 36,34 33,88 84,98 80,309 221,159 141,70 45
"$1,000, 2012 2007",210 269,324 224,"1,159 957",898 721,"4,790 2,812","2,048 1,239",767 174
"Not secured by real estate  .................................. farms, 2012 2007",30 32,19 30,64 68,68 40,192 146,113 89,60 35
"$1,000, 2012 2007",49 51,16 52,145 235,185 183,948 961,796 517,275 161
"Property taxes paid  ................................................. farms, 2012 2007",239 236,244 289,389 407,333 361,864 882,640 657,328 369
"$1,000, 2012 2007",173 211,185 356,365 327,404 373,"1,235 963","1,129 667",378 329
"All other production expenses (see text)  ................. farms, 2012 2007",81 97,80 104,179 182,170 182,422 371,314 272,148 158
"$1,000, 2012 2007",137 846,143 158,"735 2,546","1,241 4,665","4,950 13,554","2,128 3,216",744 544
"Depreciation expenses claimed (see text) ................... farms, 2012 2007",103 67,74 81,191 180,162 158,425 379,269 265,126 132
"$1,000, 2012 2007",562 537,484 372,"3,070 2,469","2,241 1,761","9,709 7,205","6,229 3,714","1,456 1,153"
,,,,,,,--continued
