"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Coosa,Covington,Crenshaw,Cullman,Dale,Dallas,DeKalb
"Total farm production expenses  .................................. farms, 2012 2007",152 207,"1,051 1,096",575 638,"2,007 2,465",487 528,506 555,"2,035 2,426"
"$1,000, 2012 2007","2,595 2,561","103,818 80,429","115,545 92,436","346,948 338,851","91,584 66,362","59,562 43,402","394,777 340,185"
"Average per farm  ............................................... dollars, 2012 2007","17,069 12,371","98,780 73,384","200,948 144,884","172,869 137,465","188,058 125,685","117,711 78,201","193,994 140,225"
"Fertilizer, lime, and soil conditioners       purchased  .............................................................. farms, 2012",53,538,248,"1,081",211,231,"1,088"
"2007 $1,000, 2012",91 159,"544 5,911","286 1,739","1,463 4,504","281 3,369","254 4,564","1,406 5,760"
"2007     Chemicals purchased  .............................................. farms, 2012",219 44,"4,227 476","1,127 226","4,814 1,211","2,411 218","2,432 203","5,683 1,076"
"2007 $1,000, 2012",50 45,"424 3,222",214 548,"1,294 1,835","229 3,164","190 2,521","1,186 2,465"
"2007     Seeds, plants, vines, and trees purchased  .............. farms, 2012",38 30,"2,156 359",252 181,"1,349 523","1,693 166","1,850 156","1,739 454"
"2007 $1,000, 2012",42 14,"337 3,491",168 621,"609 1,588","160 1,961","169 3,124","519 2,266"
2007,(D),"1,881",347,"1,292","1,167","1,613","1,655"
"Livestock and poultry purchased or       leased  .................................................................... farms, 2012",36,246,166,799,127,114,774
"2007 $1,000, 2012",44 228,"219 10,983","160 16,967","900 65,481","128 11,100","90 4,244","820 104,405"
2007         Breeding livestock purchased or,307,"13,164","13,395","72,339","8,036","4,154","92,183"
"leased  ................................................................ farms, 2012 2007",23 27,168 107,88 75,438 369,69 70,70 61,419 385
"$1,000, 2012 2007",70 58,"5,159 2,606","1,616 755","10,360 5,355","1,636 828",671 377,"9,123 6,309"
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",17,93,104,449,77,52,456
"2007 $1,000, 2012",20 158,"125 5,825","103 15,351","629 55,121","88 9,464","34 3,574","521 95,282"
"2007     Feed purchased  ....................................................... farms, 2012",249 113,"10,558 624","12,640 367","66,984 1,670","7,208 259","3,777 308","85,874 1,638"
"2007 $1,000, 2012",130 482,"533 54,865","348 78,273","1,831 218,744","265 54,878","283 18,345","1,723 212,044"
2007,440,"33,338","56,198","179,309","34,747","11,956","158,873"
"Gasoline, fuels, and oils purchased  ......................... farms, 2012 2007",149 204,"980 1,074",534 628,"1,995 2,405",467 514,480 535,"1,988 2,398"
"$1,000, 2012 2007",257 281,"3,765 3,235","2,828 2,865","7,630 9,553","2,723 2,362","3,339 2,659","10,396 10,412"
"Utilities  ..................................................................... farms, 2012 2007",75 72,619 424,338 289,"1,325 1,300",289 239,312 245,"1,304 1,210"
"$1,000, 2012 2007",136 55,"2,418 1,799","2,348 1,841","9,107 8,396","1,801 1,170","2,519 2,119","9,587 7,747"
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007",122 195,"792 1,012",436 581,"1,712 2,256",380 480,410 491,"1,661 2,271"
"$1,000, 2012 2007",286 412,"4,073 3,832","2,473 2,944","8,647 10,038","2,252 2,464","3,261 3,369","11,095 11,205"
"Hired farm labor  ....................................................... farms, 2012 2007",34 27,238 170,152 109,559 581,143 121,189 150,604 550
"$1,000, 2012 2007",326 69,"4,156 2,505","1,334 959","8,275 8,557","1,866 1,284","7,323 5,517","11,440 9,315"
"Contract labor  .......................................................... farms, 2012 2007",16 8,120 82,54 36,193 234,66 54,48 48,229 176
"$1,000, 2012 2007",47 13,774 607,356 259,"1,150 1,337",216 172,800 567,"1,187 939"
"Customwork and custom hauling  ............................. farms, 2012 2007",12 5,155 110,142 50,492 257,89 55,59 47,530 256
"$1,000, 2012 2007",14 3,"1,201 1,207","1,341 318","2,972 938",888 246,890 331,"4,146 910"
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",25,151,135,465,103,179,496
"2007 $1,000, 2012",27 115,"143 1,846","106 1,282","462 1,856","101 2,056","145 2,361","414 2,529"
"2007     Rent and lease expenses for machinery,",89,"1,803",562,"1,893","1,508","1,403","1,736"
"equipment, and farm share of vehicles  .................. farms, 2012 2007",3 1,39 25,33 12,89 90,18 18,47 46,99 97
"$1,000, 2012 2007",1 (D),107 495,249 10,615 672,102 94,"1,211 860",263 790
"Interest expense  ...................................................... farms, 2012 2007",32 49,352 264,192 148,776 688,174 155,149 126,775 718
"$1,000, 2012 2007",215 349,"3,041 3,320","2,884 2,091","7,601 6,813","3,079 2,581","2,559 2,305","8,182 7,652"
"Secured by real estate  ......................................... farms, 2012 2007",24 37,275 217,160 125,633 572,148 125,103 93,616 596
"$1,000, 2012 2007",191 308,"2,514 2,351","2,621 1,719","6,253 5,814","2,692 2,236","2,019 1,658","6,925 6,596"
"Not secured by real estate  ................................... farms, 2012 2007",14 36,170 157,107 88,386 383,85 73,87 86,427 406
"$1,000, 2012 2007",24 41,527 968,263 372,"1,348 999",387 346,540 647,"1,257 1,056"
"Property taxes paid  .................................................. farms, 2012 2007",146 181,"1,009 978",552 590,"1,931 2,260",459 482,458 477,"1,962 2,233"
"$1,000, 2012 2007",191 164,"1,009 839",672 648,"1,724 1,782",527 473,801 778,"2,359 2,008"
"All other production expenses (see text) .................. farms, 2012 2007",54 66,455 390,287 240,"1,186 1,347",228 231,227 217,"1,062 1,146"
"$1,000, 2012 2007",78 91,"2,955 6,020","1,632 8,618","5,220 29,770","1,601 5,954","1,700 1,488","6,653 27,335"
"Depreciation expenses claimed (see text)  ................... farms, 2012 2007",51 85,504 348,275 211,"1,108 1,019",239 230,191 184,"1,021 979"
"$1,000, 2012 2007",311 695,"7,755 5,270","5,660 3,655","15,851 13,396","6,366 3,802","5,179 5,181","16,467 15,922"
,,,,,,,--continued
