"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Elmore,Escambia,Etowah,Fayette,Franklin,Geneva,Greene
"Total farm production expenses  .................................. farms, 2012 2007",552 626,454 502,"853 1,004",414 401,825 958,"1,017 1,108",304 316
"$1,000, 2012 2007","23,720 18,997","32,032 27,049","75,329 58,227","29,179 13,564","117,268 110,633","142,611 111,224","19,768 24,314"
"Average per farm ................................................dollars, 2012 2007","42,971 30,347","70,555 53,883","88,311 57,995","70,481 33,826","142,144 115,484","140,227 100,383","65,026 76,942"
"Fertilizer, lime, and soil conditioners       purchased  ............................................................. farms, 2012",263,261,478,222,447,469,139
"2007 $1,000, 2012","328 2,527","318 5,323","619 1,922","252 1,535","555 2,416","530 7,775",168 425
"2007     Chemicals purchased  .............................................. farms, 2012","2,546 231","4,017 230","1,522 448","1,215 177","1,448 391","4,427 441",628 119
"2007 $1,000, 2012","240 1,302","227 5,234",431 672,164 730,333 702,"410 6,250",106 352
"2007     Seeds, plants, vines, and trees purchased .............. farms, 2012","1,059 178","3,981 211",610 209,206 147,208 197,"3,128 326",165 101
"2007 $1,000, 2012","173 1,794","204 4,002",240 601,114 729,249 981,"335 5,227",84 354
2007,"1,575","2,551",538,375,192,"2,671",292
"Livestock and poultry purchased or       leased .................................................................... farms, 2012",119,84,271,84,255,234,60
"2007 $1,000, 2012","97 1,038",95 (D),"268 9,898","89 2,862","300 30,167","249 18,919","78 1,177"
2007         Breeding livestock purchased or,773,"1,096","7,283","1,230","25,323","19,609","3,648"
"leased  ................................................................ farms, 2012 2007",56 54,51 51,153 142,50 66,140 125,118 132,34 32
"$1,000, 2012 2007",285 327,207 398,"1,549 449",238 226,"1,920 804","1,558 1,403",199 299
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",73,49,148,44,148,131,33
"2007 $1,000, 2012",49 752,57 (D),"150 8,348","39 2,624","207 28,247","158 17,361",52 978
"2007     Feed purchased  ...................................................... farms, 2012",446 384,698 251,"6,834 675","1,005 238","24,519 653","18,206 525","3,349 199"
"2007 $1,000, 2012","416 4,846","254 1,940","710 48,123","218 15,188","704 60,357","494 70,992","184 8,234"
2007,"2,224",998,"32,065","5,532","58,410","49,953","8,405"
"Gasoline, fuels, and oils purchased  ........................ farms, 2012 2007",533 605,427 490,841 993,384 397,803 948,"948 1,070",297 309
"$1,000, 2012 2007","1,813 1,754","2,301 2,312","2,028 2,238","1,245 780","2,731 3,130","4,740 4,333","1,169 1,022"
"Utilities ..................................................................... farms, 2012 2007",297 300,271 236,528 457,211 151,465 421,645 440,181 138
"$1,000, 2012 2007",555 611,550 424,"1,689 1,435",457 248,"3,302 3,069","3,234 2,351","1,295 1,115"
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007",398 571,349 446,678 927,319 374,679 902,776 987,247 296
"$1,000, 2012 2007","1,594 1,633","2,176 2,453","2,428 2,398","1,118 1,000","5,237 3,206","5,781 4,396","1,578 2,204"
"Hired farm labor  ...................................................... farms, 2012 2007",138 116,118 77,195 171,64 56,200 203,281 190,99 78
"$1,000, 2012 2007","2,777 2,231","1,818 2,072","1,272 1,018","1,005 598","2,873 1,777","4,533 3,617","1,728 2,218"
"Contract labor  .......................................................... farms, 2012 2007",42 18,33 40,76 56,26 15,98 65,120 85,39 18
"$1,000, 2012 2007",297 81,258 153,277 331,158 103,564 259,961 685,219 112
"Customwork and custom hauling  ............................ farms, 2012 2007",72 70,57 68,140 73,38 39,151 92,234 116,33 37
"$1,000, 2012 2007",404 304,"483 1,166",718 121,340 134,937 188,"1,625 607",242 164
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",115,116,123,103,159,184,70
"2007 $1,000, 2012",114 855,"121 2,922",122 310,"79 1,596","149 1,728","157 2,360",75 415
"2007     Rent and lease expenses for machinery,",781,"2,192",383,327,499,"1,604",657
"equipment, and farm share of vehicles .................. farms, 2012 2007",25 33,25 14,34 44,15 8,31 34,35 14,15 15
"$1,000, 2012 2007",173 138,(D) 562,"1,040 129",35 16,201 309,277 323,83 75
"Interest expense  ...................................................... farms, 2012 2007",150 154,111 119,279 251,99 60,268 250,374 252,105 80
"$1,000, 2012 2007","1,164 1,463","1,962 1,369","2,340 2,254",576 634,"2,649 2,420","4,320 3,681","1,101 2,182"
"Secured by real estate  ........................................ farms, 2012 2007",128 112,80 84,225 201,64 46,221 190,314 208,83 57
"$1,000, 2012 2007",952 769,"1,506 927","1,902 1,960",431 516,"2,346 2,098","3,269 2,799","816 1,895"
"Not secured by real estate  .................................. farms, 2012 2007",65 94,83 90,124 135,60 36,133 129,187 144,58 47
"$1,000, 2012 2007",211 694,456 443,438 294,145 118,302 322,"1,051 882",285 287
"Property taxes paid  ................................................. farms, 2012 2007",521 558,429 435,822 933,387 364,805 881,"982 1,015",278 257
"$1,000, 2012 2007",677 519,622 465,807 764,314 244,712 620,"1,203 902",351 392
"All other production expenses (see text)  ................. farms, 2012 2007",248 250,176 207,413 415,127 115,398 425,482 439,123 124
"$1,000, 2012 2007","1,904 1,307","1,125 1,238","1,204 5,138","1,293 923","1,714 9,575","4,415 8,935","1,046 1,035"
"Depreciation expenses claimed (see text) ................... farms, 2012 2007",222 260,157 165,381 447,126 140,405 357,503 381,124 128
"$1,000, 2012 2007","2,600 2,106","4,380 3,663","5,792 3,826","2,013 919","5,120 4,160","11,598 5,718","1,747 1,911"
,,,,,,,--continued
