"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Hale,Henry,Houston,Jackson,Jefferson,Lamar L,auderdale
"Total farm production expenses  .................................. farms, 2012 2007",456 479,498 478,816 841,"1,376 1,523",394 470,353 422,"1,466 1,697"
"$1,000, 2012 2007","51,693 53,126","62,822 42,334","81,419 59,771","96,495 90,399","11,932 19,197","8,583 6,905","69,820 44,227"
"Average per farm  ............................................... dollars, 2012 2007","113,362 110,909","126,148 88,565","99,778 71,071","70,127 59,356","30,284 40,845","24,315 16,362","47,626 26,062"
"Fertilizer, lime, and soil conditioners       purchased  .............................................................. farms, 2012",202,284,455,698,193,187,758
"2007 $1,000, 2012",210 900,"276 6,480","502 12,979","914 6,731",235 490,234 600,"986 11,323"
"2007     Chemicals purchased  .............................................. farms, 2012","1,433 174","3,324 254","7,492 395","5,783 619",491 158,565 130,"6,130 580"
"2007 $1,000, 2012",145 590,"210 5,610","378 8,026","600 3,115",172 198,106 132,"554 4,494"
"2007     Seeds, plants, vines, and trees purchased  .............. farms, 2012",708 134,"2,379 224","5,770 317","1,961 388",82 115,109 93,"2,161 428"
"2007 $1,000, 2012",119 427,"196 5,020","344 7,593","411 3,692",128 89,118 175,"436 4,825"
2007,480,"2,304","4,677","2,192",332,184,"2,146"
"Livestock and poultry purchased or       leased  .................................................................... farms, 2012",92,102,133,414,105,70,377
"2007 $1,000, 2012","103 7,135","92 4,274",140 (D),"361 10,605","81 3,152",76 596,"366 4,954"
2007         Breeding livestock purchased or,"6,562","2,673",(D),"15,231",(D),465,"4,333"
"leased  ................................................................ farms, 2012 2007",52 59,72 71,77 90,247 201,65 39,40 44,266 211
"$1,000, 2012 2007","1,607 988",923 236,490 (D),"2,951 1,923",200 163,138 130,"3,109 1,872"
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",49,41,70,228,55,33,138
"2007 $1,000, 2012","59 5,528","31 3,350",64 (D),"209 7,654","55 2,952",36 458,"198 1,845"
"2007     Feed purchased  ....................................................... farms, 2012","5,573 321","2,437 251",(D) 402,"13,308 974",(D) 285,336 218,"2,462 1,057"
"2007 $1,000, 2012","263 22,219","226 19,703","398 6,388","953 47,453","308 3,487","240 3,474","1,040 19,476"
2007,"20,407","12,198","6,363","37,662",(D),"2,541","10,562"
"Gasoline, fuels, and oils purchased  ......................... farms, 2012 2007",437 458,459 464,751 824,"1,356 1,498",375 464,343 403,"1,406 1,662"
"$1,000, 2012 2007","2,211 2,680","3,898 2,791","4,905 4,426","4,414 4,264",733 909,696 531,"3,800 2,856"
"Utilities  ..................................................................... farms, 2012 2007",268 206,310 212,475 386,787 647,214 193,173 138,729 587
"$1,000, 2012 2007","2,010 2,448","1,472 688","1,620 1,071","2,212 2,080",377 504,198 133,"1,429 840"
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007",370 420,389 430,621 770,"1,069 1,370",292 412,271 372,"1,147 1,575"
"$1,000, 2012 2007","3,221 4,103","3,486 3,095","5,052 5,331","4,497 4,537",624 866,713 868,"4,282 3,429"
"Hired farm labor  ....................................................... farms, 2012 2007",158 126,141 94,231 168,311 261,80 68,68 67,312 284
"$1,000, 2012 2007","4,996 5,722","3,228 2,718","4,715 4,131","2,951 2,333","1,198 (D)",678 228,"2,996 2,114"
"Contract labor  .......................................................... farms, 2012 2007",49 66,50 36,83 72,92 78,38 27,16 15,117 100
"$1,000, 2012 2007","542 1,429",500 254,"1,579 803","1,121 599",106 266,101 29,614 288
"Customwork and custom hauling  ............................. farms, 2012 2007",66 68,105 56,117 96,197 124,23 24,27 25,175 166
"$1,000, 2012 2007",537 736,835 325,"1,305 806",952 657,59 33,55 30,753 339
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",129,146,232,289,81,73,296
"2007 $1,000, 2012","110 1,136","122 3,238","209 5,700","280 1,563",53 111,65 192,"275 3,295"
"2007     Rent and lease expenses for machinery,","1,043","3,623","3,558","2,191",117,105,"2,032"
"equipment, and farm share of vehicles  .................. farms, 2012 2007",14 26,25 24,18 33,69 42,18 16,9 11,38 36
"$1,000, 2012 2007",158 142,246 168,(D) (D),107 126,29 44,10 3,493 139
"Interest expense  ...................................................... farms, 2012 2007",187 126,209 129,310 215,433 393,62 61,79 80,481 384
"$1,000, 2012 2007","2,303 2,063","2,328 1,790","4,056 2,515","3,391 3,309",519 681,236 484,"3,410 2,783"
"Secured by real estate  ......................................... farms, 2012 2007",141 104,162 104,211 148,316 310,45 47,50 54,369 322
"$1,000, 2012 2007","1,750 1,410","1,590 1,217","2,582 1,631","2,868 2,642",417 514,196 369,"2,710 2,154"
"Not secured by real estate  ................................... farms, 2012 2007",103 67,105 79,170 142,229 234,37 47,38 50,279 211
"$1,000, 2012 2007",553 653,738 573,"1,474 885",523 667,102 166,40 115,700 629
"Property taxes paid  .................................................. farms, 2012 2007",425 438,456 436,767 742,"1,323 1,410",359 389,335 381,"1,420 1,548"
"$1,000, 2012 2007",654 564,618 571,807 629,"1,089 947",426 420,310 261,"1,372 1,339"
"All other production expenses (see text) .................. farms, 2012 2007",209 213,218 233,325 341,696 657,149 204,132 136,623 690
"$1,000, 2012 2007","2,653 2,606","1,887 3,434","3,707 2,868","2,604 6,525",334 470,418 369,"2,304 2,737"
"Depreciation expenses claimed (see text)  ................... farms, 2012 2007",204 181,252 209,343 293,582 630,125 117,109 115,558 600
"$1,000, 2012 2007","3,661 4,194","4,881 3,859","7,424 5,389","7,986 6,411","667 1,002",922 602,"7,346 5,246"
,,,,,,,--continued
