"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Lawrence,Lee,Limestone,Lowndes,Macon,Madison,Marengo
"Total farm production expenses  .................................. farms, 2012 2007","1,551 1,601",315 356,"1,230 1,352",441 405,352 385,"1,033 1,187",499 555
"$1,000, 2012 2007","173,798 131,863","25,729 31,159","103,734 74,038","67,024 51,164","18,907 15,620","67,069 44,631","20,348 16,549"
"Average per farm ................................................dollars, 2012 2007","112,055 82,363","81,679 87,525","84,337 54,762","151,981 126,330","53,714 40,571","64,927 37,600","40,778 29,818"
"Fertilizer, lime, and soil conditioners       purchased  ............................................................. farms, 2012",695,180,612,179,170,601,245
"2007 $1,000, 2012","795 12,367","212 3,152","721 15,308","200 1,936","224 2,105","691 13,260","261 1,369"
"2007     Chemicals purchased  .............................................. farms, 2012","6,199 653","2,778 167","10,246 579","1,607 167","1,834 145","7,557 561","1,221 181"
"2007 $1,000, 2012","548 8,222","131 1,738","521 9,859","125 1,538","126 1,091","500 7,918",140 319
"2007     Seeds, plants, vines, and trees purchased .............. farms, 2012","3,572 387","1,307 107","4,713 381",660 129,962 126,"4,286 427",621 139
"2007 $1,000, 2012","389 8,634","103 3,201","343 10,282","113 1,187","134 1,235","403 7,246",136 732
2007,"3,949",(D),"6,055",632,(D),"3,805",310
"Livestock and poultry purchased or       leased .................................................................... farms, 2012",479,71,323,124,77,222,133
"2007 $1,000, 2012","422 17,885",77 (D),"261 5,703","104 13,738",59 258,"215 1,266","96 1,551"
2007         Breeding livestock purchased or,"25,346",516,"6,333","12,745",324,"1,354",(D)
"leased  ................................................................ farms, 2012 2007",272 231,37 47,214 142,90 59,51 32,128 112,84 54
"$1,000, 2012 2007","1,928 1,511",(D) 211,"1,767 954",769 521,165 126,633 795,946 (D)
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",272,43,141,53,39,115,71
"2007 $1,000, 2012","249 15,956",45 168,"147 3,936","60 12,969",38 93,122 632,53 605
"2007     Feed purchased  ...................................................... farms, 2012","23,835 1,084",304 220,"5,379 797","12,224 334",198 220,559 669,569 346
"2007 $1,000, 2012","973 75,783","237 1,863","757 24,193","256 29,304","216 1,389","700 6,585","327 5,617"
2007,"56,053","1,468","15,560","19,942",(D),"3,909","4,084"
"Gasoline, fuels, and oils purchased  ........................ farms, 2012 2007","1,484 1,570",309 356,"1,192 1,338",420 390,332 372,"1,012 1,168",479 538
"$1,000, 2012 2007","7,417 4,450","1,791 1,745","5,781 4,695","3,226 2,021","1,481 1,146","4,606 3,532","1,614 1,314"
"Utilities ..................................................................... farms, 2012 2007",914 741,186 170,720 543,243 188,215 159,629 490,284 212
"$1,000, 2012 2007","6,095 2,898","1,496 1,215","2,434 1,390","1,290 849",666 545,992 793,494 399
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007","1,216 1,476",252 320,"976 1,244",346 351,274 352,"843 1,067",398 503
"$1,000, 2012 2007","7,595 4,757","5,077 4,941","5,482 4,422","2,123 1,941","1,791 1,497","4,830 4,723","1,892 1,993"
"Hired farm labor  ...................................................... farms, 2012 2007",374 286,86 74,280 257,137 108,111 78,271 218,149 129
"$1,000, 2012 2007","5,534 3,287","1,743 (D)","6,033 6,712","3,821 1,865","4,476 3,355","4,753 3,965","1,815 (D)"
"Contract labor  .......................................................... farms, 2012 2007",103 84,23 19,112 85,45 32,39 20,105 88,33 36
"$1,000, 2012 2007",773 210,409 75,488 314,461 187,430 304,654 444,104 120
"Customwork and custom hauling  ............................ farms, 2012 2007",326 144,37 35,223 160,67 53,45 48,159 113,55 52
"$1,000, 2012 2007","1,589 684",99 38,"1,965 594","1,515 579",290 127,"1,002 464",174 434
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",347,58,285,124,82,237,132
"2007 $1,000, 2012","265 7,454",65 401,"219 7,033","112 1,844","57 1,331","224 4,643","137 1,366"
"2007     Rent and lease expenses for machinery,","3,003",167,"3,469","1,312",453,"2,589",753
"equipment, and farm share of vehicles .................. farms, 2012 2007",75 57,8 12,52 64,16 18,7 12,74 55,22 18
"$1,000, 2012 2007","2,614 1,314",(D) (D),"1,069 852",47 76,76 19,"1,056 488",47 46
"Interest expense  ...................................................... farms, 2012 2007",489 367,74 77,421 325,146 115,121 97,304 233,192 140
"$1,000, 2012 2007","4,682 4,104",899 912,"3,100 2,610","1,800 2,088","1,008 1,041","2,676 2,754","1,929 1,409"
