"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Marion,Marshall,Mobile,Monroe M,ontgomery,Morgan,Perry
"Total farm production expenses  .................................. farms, 2012 2007",715 787,"1,505 1,731",698 876,480 505,603 620,"1,237 1,457",389 390
"$1,000, 2012 2007","83,621 58,875","215,491 203,489","61,452 66,035","39,069 22,145","71,292 38,581","95,475 87,725","29,131 18,452"
"Average per farm  ............................................... dollars, 2012 2007","116,953 74,810","143,183 117,556","88,041 75,382","81,394 43,852","118,228 62,228","77,183 60,210","74,887 47,312"
"Fertilizer, lime, and soil conditioners       purchased  .............................................................. farms, 2012",356,830,442,298,236,635,159
"2007 $1,000, 2012","432 1,137","1,072 2,967","606 7,081","343 4,969","277 1,889","845 4,046","197 1,953"
"2007     Chemicals purchased  .............................................. farms, 2012","1,274 347","3,068 847","7,008 389","3,122 225","1,838 213","3,196 614","1,076 130"
"2007 $1,000, 2012",283 463,"888 1,366","429 7,963","232 6,494",193 888,"587 1,526","132 1,202"
"2007     Seeds, plants, vines, and trees purchased  .............. farms, 2012",317 183,"1,114 346","3,034 344","2,331 202",466 149,855 333,407 125
"2007 $1,000, 2012",197 461,"393 1,071","336 5,255","209 4,026","151 1,834","423 2,061","129 1,545"
2007,395,"1,045","8,254","1,825",479,980,388
"Livestock and poultry purchased or       leased  .................................................................... farms, 2012",213,488,166,53,170,364,84
"2007 $1,000, 2012","183 11,637","557 54,666",165 760,"75 1,660","135 20,663","355 14,941","68 1,182"
2007         Breeding livestock purchased or,"8,402","53,075",921,966,"6,730","16,597","1,932"
"leased  ................................................................ farms, 2012 2007",102 82,277 267,93 101,34 46,102 77,206 182,57 37
"$1,000, 2012 2007",750 897,"2,561 1,343",347 295,262 188,740 688,"1,094 817",447 659
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",138,290,91,25,79,201,41
"2007 $1,000, 2012","118 10,887","351 52,104",93 413,"37 1,397","74 19,923","225 13,847",42 735
"2007     Feed purchased  ....................................................... farms, 2012","7,505 525","51,733 1,202",626 443,778 282,"6,042 461","15,780 946","1,272 237"
"2007 $1,000, 2012","482 55,893","1,225 113,576","488 4,519","250 7,262","423 25,039","972 48,122","232 9,874"
2007,"33,984","94,708","2,890","4,371","10,255","38,803","4,970"
"Gasoline, fuels, and oils purchased  ......................... farms, 2012 2007",702 772,"1,476 1,698",684 860,448 492,574 604,"1,197 1,427",357 377
"$1,000, 2012 2007","2,001 2,030","5,293 6,719","3,037 3,081","2,594 1,639","2,526 2,243","3,443 3,291","1,898 1,208"
"Utilities  ..................................................................... farms, 2012 2007",407 315,958 921,447 422,264 194,399 297,729 671,238 184
"$1,000, 2012 2007","2,198 1,022","6,121 5,455","1,605 1,781",602 361,"1,207 996","2,782 2,121",920 806
