"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Talladega T,allapoosa T,uscaloosa,Walker W,ashington,Wilcox,Winston
"Total farm production expenses  .................................. farms, 2012 2007",519 625,345 377,497 613,482 629,371 473,316 368,520 626
"$1,000, 2012 2007","33,682 29,232","10,626 7,945","25,284 24,880","28,914 44,835","26,914 27,642","8,821 9,427","45,234 55,048"
"Average per farm  ............................................... dollars, 2012 2007","64,898 46,771","30,801 21,074","50,874 40,587","59,987 71,279","72,544 58,440","27,915 25,617","86,989 87,936"
"Fertilizer, lime, and soil conditioners       purchased  .............................................................. farms, 2012",286,187,253,248,240,152,278
"2007 $1,000, 2012","322 3,520",198 659,"360 1,791",334 666,"331 1,319",190 744,408 834
"2007     Chemicals purchased  .............................................. farms, 2012","2,838 250",551 152,"1,544 220",632 231,"1,070 174","1,003 117",971 266
"2007 $1,000, 2012","213 1,324",104 365,225 527,224 219,206 934,106 239,285 175
"2007     Seeds, plants, vines, and trees purchased  .............. farms, 2012",984 164,179 105,417 175,136 142,416 167,299 131,143 116
"2007 $1,000, 2012","180 1,649",85 492,"190 1,141",148 214,204 593,122 316,135 130
2007,"1,302",158,872,121,250,407,89
"Livestock and poultry purchased or       leased  .................................................................... farms, 2012",124,79,124,129,101,72,176
"2007 $1,000, 2012","143 4,045",69 880,"136 2,363","197 3,657","147 3,098",71 479,"232 6,273"
2007         Breeding livestock purchased or,"6,435",562,"2,130","8,443","5,551",787,"8,480"
"leased  ................................................................ farms, 2012 2007",86 86,47 31,61 79,59 77,62 95,48 40,89 87
"$1,000, 2012 2007",467 620,180 182,703 405,484 386,"961 1,115",222 150,"1,074 984"
"Other livestock and poultry purchased or           leased  ................................................................ farms, 2012",54,42,77,89,64,31,109
"2007 $1,000, 2012","66 3,578",43 700,"75 1,661","146 3,173","71 2,137",38 257,"175 5,199"
"2007     Feed purchased  ....................................................... farms, 2012","5,814 401",381 252,"1,725 324","8,056 382","4,436 272",637 214,"7,495 436"
"2007 $1,000, 2012","423 10,933","260 4,199","365 11,287","455 17,860","314 12,088","196 1,634","495 29,283"
2007,"6,778","2,695","9,120","23,500","11,481","1,526","30,659"
"Gasoline, fuels, and oils purchased  ......................... farms, 2012 2007",510 617,330 366,491 605,478 621,359 457,299 356,515 616
"$1,000, 2012 2007","1,619 1,678",690 598,"1,326 1,828","1,011 1,925","1,188 1,064","925 1,018","1,535 2,375"
"Utilities  ..................................................................... farms, 2012 2007",311 288,201 162,305 284,252 290,235 227,182 143,298 325
"$1,000, 2012 2007",853 633,328 224,743 731,"728 1,167","1,651 854",314 183,"1,071 1,610"
"Repairs, supplies, and maintenance costs  .............. farms, 2012 2007",412 582,279 344,416 565,356 577,272 428,248 329,440 569
"$1,000, 2012 2007","1,717 2,131",592 835,"1,211 1,865","873 1,680","2,234 1,652","863 1,182","1,315 2,781"
"Hired farm labor  ....................................................... farms, 2012 2007",130 127,80 58,114 111,75 95,77 78,117 88,87 103
"$1,000, 2012 2007","2,601 1,971",376 330,"1,666 1,594","680 1,493","417 1,284",966 586,"1,015 1,110"
"Contract labor  .......................................................... farms, 2012 2007",39 53,28 35,24 35,27 32,36 39,18 39,42 52
"$1,000, 2012 2007",294 268,129 129,109 210,228 153,275 153,48 108,181 188
"Customwork and custom hauling  ............................. farms, 2012 2007",49 75,30 24,40 47,60 41,47 47,49 42,106 54
"$1,000, 2012 2007",477 181,239 116,208 127,340 100,273 56,121 161,416 63
"Cash rent for land, buildings,       and grazing fees  .................................................... farms, 2012",124,47,88,77,48,70,84
"2007 $1,000, 2012",94 933,34 263,89 615,63 195,75 450,61 297,83 214
"2007     Rent and lease expenses for machinery,",498,110,771,159,356,378,309
"equipment, and farm share of vehicles  .................. farms, 2012 2007",23 25,7 11,18 27,25 19,5 12,17 16,23 14
"$1,000, 2012 2007",563 228,8 12,77 94,32 70,36 38,30 28,24 15
"Interest expense  ...................................................... farms, 2012 2007",125 140,86 75,120 127,107 124,103 96,84 60,193 169
"$1,000, 2012 2007","1,187 1,160",765 566,"926 1,324",621 919,"977 1,007",892 842,"1,077 1,145"
"Secured by real estate  ......................................... farms, 2012 2007",95 114,71 53,101 93,77 91,83 71,53 45,153 130
"$1,000, 2012 2007",868 988,683 468,"807 1,107",491 722,790 903,791 668,931 895
"Not secured by real estate  ................................... farms, 2012 2007",76 73,40 44,54 73,57 73,47 52,56 40,87 97
"$1,000, 2012 2007",320 172,82 98,119 217,130 196,188 104,101 174,146 251
"Property taxes paid  .................................................. farms, 2012 2007",494 577,336 359,468 539,463 575,365 455,303 338,489 577
"$1,000, 2012 2007",489 629,307 291,423 490,338 395,361 317,425 501,303 304
"All other production expenses (see text) .................. farms, 2012 2007",236 252,152 161,219 245,216 274,150 210,143 129,272 319
"$1,000, 2012 2007","1,480 1,519",334 589,"871 1,764","1,254 3,943","1,019 2,091",527 418,"1,388 4,805"
"Depreciation expenses claimed (see text)  ................... farms, 2012 2007",229 254,140 155,207 263,190 325,169 197,111 100,235 240
"$1,000, 2012 2007","2,795 2,782","1,171 1,504","1,700 2,452","2,130 2,186","1,994 2,025","1,196 1,734","1,640 2,351"
276 Alabama,,,2,012 Censu,"s of AgricuUSDA, Natio",lture - Counal Agricultural Sta,nty Data tistics Service
